,SPY,QQQ,^RUT,IWM,DIA,EFA,EEM,XLF,XLE,XLU,XLK,XLI,XLB,XLP,XLV,XLY,XBI,XHB,XME,XOP,XRT,XES,XSW,XSD,XTN,XAR
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-12,140.76112365722656,70.14369201660156,1053.6700439453125,91.63320922851562,124.5407485961914,46.193119049072266,32.21629333496094,13.634822845458984,56.035423278808594,27.896177291870117,27.935606002807617,37.693580627441406,33.739097595214844,31.852699279785156,43.13931655883789,53.091705322265625,38.663978576660156,27.431732177734375,31.793903350830078,214.79986572265625,35.462223052978516,359.6065673828125,38.488521575927734,26.3991641998291,32.018829345703125,37.3681755065918
2013-08-13,141.17726135253906,70.5370864868164,1051.989990234375,91.51055908203125,124.87226104736328,46.492733001708984,32.41090393066406,13.701858520507812,56.13764190673828,27.745697021484375,28.1265869140625,37.85908508300781,33.86156463623047,31.87574577331543,43.300987243652344,53.091705322265625,38.56034851074219,27.20075035095215,31.317462921142578,214.1842803955078,35.65299606323242,360.75152587890625,38.73857879638672,26.62152099609375,31.51917839050293,37.65354537963867
2013-08-14,140.45314025878906,70.2717514038086,1047.800048828125,91.1513442993164,123.96662902832031,46.51520919799805,32.51631546020508,13.648224830627441,55.87872314453125,27.566556930541992,28.10054588317871,37.594268798828125,33.7880744934082,31.65289306640625,42.96063995361328,52.50768280029297,38.58625793457031,26.729534149169922,31.844955444335938,212.95310974121094,35.401519775390625,359.430419921875,38.58759689331055,26.285614013671875,31.317481994628906,37.3681755065918
2013-08-15,138.4887237548828,69.0824203491211,1027.6099853515625,89.46043395996094,122.18780517578125,46.125701904296875,32.143314361572266,13.447123527526855,55.57210922241211,27.215438842773438,27.649127960205078,37.1722412109375,33.54311752319336,31.14571189880371,42.237396240234375,51.587432861328125,37.546730041503906,26.766490936279297,31.93852424621582,212.06394958496094,34.699119567871094,357.40460205078125,37.72895050048828,25.75574493408203,30.946184158325195,36.677093505859375
2013-08-16,138.0309295654297,69.05497741699219,1024.300048828125,89.08370971679688,121.9957046508789,46.20809555053711,31.86762046813965,13.420310020446777,55.34724426269531,26.900142669677734,27.623090744018555,37.221885681152344,33.28182601928711,30.961284637451172,42.041690826416016,51.401615142822266,37.28439712524414,26.784975051879883,31.504619598388672,211.1405792236328,34.43030548095703,355.4670104980469,37.73365783691406,25.926061630249023,31.079116821289062,36.677093505859375
2013-08-19,137.1486053466797,68.93605041503906,1013.25,88.1812973022461,121.379638671875,45.87852096557617,31.267566680908203,13.24601936340332,54.46830749511719,26.670835494995117,27.536272048950195,37.023284912109375,33.02052688598633,30.822961807250977,42.1182746887207,51.18039321899414,37.17428970336914,26.165937423706055,30.670866012573242,206.8657684326172,34.22218704223633,350.7110290527344,37.68647003173828,25.651660919189453,30.804094314575195,36.71723556518555
2013-08-20,137.8228302001953,69.23793029785156,1028.5699462890625,89.45166778564453,121.38776397705078,45.81859588623047,31.21080780029297,13.373383522033691,54.802154541015625,26.921642303466797,27.579681396484375,37.08948516845703,33.20833969116211,30.83065414428711,42.237396240234375,51.702476501464844,37.81549072265625,26.858890533447266,31.215364456176758,208.9861297607422,34.7468147277832,354.4981994628906,37.68647003173828,25.959177017211914,31.22122573852539,36.71723556518555
2013-08-21,136.97386169433594,69.00008392333984,1021.5800170898438,88.90847778320312,120.4880142211914,45.2792854309082,30.481000900268555,13.279537200927734,54.50236892700195,26.61351203918457,27.518918991088867,36.83296203613281,32.95521926879883,30.592426300048828,41.982139587402344,51.260032653808594,38.34661102294922,26.77573013305664,30.61130142211914,206.6264190673828,34.26121139526367,350.00640869140625,37.58740234375,25.831438064575195,31.08829689025879,36.850990295410156
2013-08-22,138.22238159179688,69.67710876464844,1036.199951171875,90.16134643554688,121.10407257080078,45.72122573852539,30.975648880004883,13.433716773986816,55.31317901611328,26.76399040222168,27.64044189453125,37.33772277832031,33.34714889526367,30.723058700561523,42.25441360473633,51.773258209228516,38.8097038269043,27.246944427490234,31.598228454589844,211.0380401611328,34.3132438659668,357.0524597167969,37.879913330078125,26.03960418701172,31.652128219604492,37.105125427246094
2013-08-23,138.6885223388672,70.14369201660156,1038.239990234375,90.38911437988281,121.45263671875,46.11820983886719,31.34054183959961,13.447123527526855,55.70836639404297,26.986133575439453,27.840110778808594,37.346012115478516,33.616607666015625,30.899816513061523,42.36503219604492,51.7821044921875,38.74171447753906,26.86812973022461,32.04914474487305,213.0557403564453,34.2048454284668,359.07806396484375,38.27150344848633,26.06798553466797,31.716283798217773,37.27901077270508
2013-08-26,138.1724395751953,70.18025970458984,1038.469970703125,90.39787292480469,120.95005798339844,45.78114318847656,30.99997329711914,13.359978675842285,55.61299514770508,26.78548812866211,27.70989418029785,37.26325225830078,33.616607666015625,30.538639068603516,42.42457962036133,51.67591094970703,39.609619140625,27.04368019104004,32.202274322509766,213.5345001220703,34.183170318603516,358.5498046875,38.21488952636719,26.14841651916504,31.780460357666016,37.40386962890625
2013-08-27,135.94998168945312,68.74392700195312,1013.489990234375,88.27767181396484,119.56390380859375,45.00215148925781,30.286396026611328,13.038213729858398,55.265499114990234,26.771156311035156,27.223756790161133,36.510215759277344,33.02870178222656,30.377256393432617,41.73538589477539,50.835304260253906,38.090782165527344,26.4431209564209,31.25791358947754,211.8587646484375,33.54146957397461,352.8249816894531,37.313777923583984,25.372526168823242,30.877424240112305,36.30702590942383
2013-08-28,136.43276977539062,69.00922393798828,1016.5,88.45291137695312,120.00169372558594,44.94971466064453,30.35126495361328,13.05832576751709,56.185325622558594,26.86431121826172,27.241113662719727,36.54331970214844,32.963382720947266,30.146718978881836,41.914066314697266,51.109596252441406,38.657508850097656,26.406164169311523,31.053712844848633,214.6288604736328,33.7279052734375,357.66888427734375,37.577972412109375,25.836172103881836,30.914094924926758,36.45417404174805
2013-08-29,136.6492156982422,69.4941177368164,1026.93994140625,89.33777618408203,120.17184448242188,44.87480926513672,30.59454345703125,13.091842651367188,55.599342346191406,26.706668853759766,27.388694763183594,36.65089416503906,33.06953430175781,30.269664764404297,42.041690826416016,51.35737228393555,39.10116958618164,26.72030258178711,30.934606552124023,213.2951202392578,34.022743225097656,355.3790283203125,37.997859954833984,26.1436824798584,31.04702377319336,36.65479278564453
2013-08-30,136.2163848876953,69.04583740234375,1010.9000244140625,87.94473266601562,119.84760284423828,44.32052230834961,30.82969093322754,13.031511306762695,55.57893371582031,26.72817039489746,27.25847816467285,36.44401931762695,33.012367248535156,30.361888885498047,41.880035400390625,51.03882598876953,38.62188720703125,26.37844467163086,30.602807998657227,212.02975463867188,33.766937255859375,350.44683837890625,37.68647003173828,25.63746452331543,30.606971740722656,36.30256271362305
2013-09-03,136.83230590820312,69.43923950195312,1016.260009765625,88.54051208496094,120.05841827392578,45.17442321777344,31.024293899536133,13.138764381408691,55.98771667480469,26.420034408569336,27.28452491760254,36.675716400146484,33.20833969116211,30.33884620666504,42.152305603027344,51.401615142822266,39.5480842590332,26.396928787231445,30.798494338989258,214.28684997558594,33.85797882080078,352.5605773925781,37.9129524230957,25.807785034179688,30.80866050720215,36.30256271362305
