,Col,Label,Date,CPI,unemployment_rate,Interest Rate,GDP Growth Rate
0,1.8517900704294599,-0.006872052928420969,2013-11-27,0.07768966666666666,0.0023000000000000004,0.0274,0.0003888888888888889
1,1.8517900704294599,0.014141428074550433,2013-11-29,0.07768966666666666,0.0023000000000000004,0.0275,0.0003888888888888889
2,-0.8703736000624018,0.011418898738823513,2013-12-02,0.077683,0.0022333333333333333,0.0281,0.0003888888888888889
3,2.7374526650674857,0.0039234250383661795,2013-12-03,0.077683,0.0022333333333333333,0.0279,0.0003888888888888889
4,-0.23304416781287918,-0.0027494876047942096,2013-12-04,0.077683,0.0022333333333333333,0.028399999999999998,0.0003888888888888889
5,0.5132694243447089,0.016001386509479243,2013-12-05,0.077683,0.0022333333333333333,0.0288,0.0003888888888888889
6,-1.3875842441175124,0.0058699109841104935,2013-12-06,0.077683,0.0022333333333333333,0.0288,0.0003888888888888889
7,1.1446188360318743,-0.0041381269291506095,2013-12-09,0.077683,0.0022333333333333333,0.0286,0.0003888888888888889
8,-0.15538274077172565,-0.01672696590265632,2013-12-10,0.077683,0.0022333333333333333,0.0281,0.0003888888888888889
9,-0.7408538798748143,-0.010943891663796501,2013-12-11,0.077683,0.0022333333333333333,0.0286,0.0003888888888888889
10,-0.1461079866506121,0.010079092024091185,2013-12-12,0.077683,0.0022333333333333333,0.028900000000000002,0.0003888888888888889
11,-1.089979849239886,-0.0013015011536139376,2013-12-13,0.077683,0.0022333333333333333,0.0288,0.0003888888888888889
12,0.5537205392347699,0.0010857018734220514,2013-12-16,0.077683,0.0022333333333333333,0.028900000000000002,0.0003888888888888889
13,-0.4502204936373877,-0.0034713926708137555,2013-12-17,0.077683,0.0022333333333333333,0.0285,0.0003888888888888889
14,-0.7603944225009873,-0.010341541130120646,2013-12-18,0.077683,0.0022333333333333333,0.028900000000000002,0.0003888888888888889
15,-1.1456369074262729,-0.0008799479090521034,2013-12-19,0.077683,0.0022333333333333333,0.0294,0.0003888888888888889
16,0.8375216876775227,-0.006055384295988064,2013-12-20,0.077683,0.0022333333333333333,0.028900000000000002,0.0003888888888888889
17,3.837755286138167,0.0008859932171683127,2013-12-23,0.077683,0.0022333333333333333,0.0294,0.0003888888888888889
18,-0.4245057361755622,0.005975969500372935,2013-12-24,0.077683,0.0022333333333333333,0.029900000000000003,0.0003888888888888889
19,-0.664074312623042,0.011881601343112003,2013-12-26,0.077683,0.0022333333333333333,0.03,0.0003888888888888889
20,-0.6756652377716166,0.01032804554261424,2013-12-27,0.077683,0.0022333333333333333,0.0302,0.0003888888888888889
21,-0.9945446386211865,0.006348912471950907,2013-12-30,0.077683,0.0022333333333333333,0.029900000000000003,0.0003888888888888889
22,1.1722195447848804,-0.0004275570450141819,2013-12-31,0.077683,0.0022333333333333333,0.0304,0.0003888888888888889
23,-1.406348776842059,0.005883356573133325,2014-01-02,0.077972,0.0022,0.03,-0.00015555555555555554
24,-2.1966069618471584,0.020631732917536727,2014-01-03,0.077972,0.0022,0.0301,-0.00015555555555555554
25,0.5452814194432998,-0.006460282439926912,2014-01-06,0.077972,0.0022,0.0298,-0.00015555555555555554
26,-0.7151547949059367,0.00041953162406827005,2014-01-07,0.077972,0.0022,0.0296,-0.00015555555555555554
27,0.6332796397567009,-0.0036691368370246336,2014-01-08,0.077972,0.0022,0.0301,-0.00015555555555555554
28,-1.2769943621198876,0.0018938691067886815,2014-01-09,0.077972,0.0022,0.0297,-0.00015555555555555554
29,-0.6672050813997465,0.012917532962611444,2014-01-10,0.077972,0.0022,0.0288,-0.00015555555555555554
30,0.5234453066293998,-0.011716198595800753,2014-01-13,0.077972,0.0022,0.028399999999999998,-0.00015555555555555554
31,1.989807567752444,-0.005664919331147988,2014-01-14,0.077972,0.0022,0.0288,-0.00015555555555555554
32,2.0077131487322486,-0.017830675296550136,2014-01-15,0.077972,0.0022,0.028999999999999998,-0.00015555555555555554
33,-0.5579577674606928,0.014394404255397841,2014-01-16,0.077972,0.0022,0.0286,-0.00015555555555555554
34,-2.4501702939026093,-0.005189105829426555,2014-01-17,0.077972,0.0022,0.028399999999999998,-0.00015555555555555554
35,1.5536317996742044,0.008303477244215873,2014-01-21,0.077972,0.0022,0.0285,-0.00015555555555555554
36,0.4443850757442691,0.02607679394210427,2014-01-22,0.077972,0.0022,0.0287,-0.00015555555555555554
37,0.8467529575602928,-0.0016463562948698662,2014-01-23,0.077972,0.0022,0.0279,-0.00015555555555555554
38,-1.8177630221374086,0.006595930375856929,2014-01-24,0.077972,0.0022,0.0275,-0.00015555555555555554
39,0.8112689443062093,0.013821939227048885,2014-01-27,0.077972,0.0022,0.0278,-0.00015555555555555554
40,-7.992677297830609,-0.006463112182297115,2014-01-28,0.077972,0.0022,0.0277,-0.00015555555555555554
41,-1.1353178920766926,-0.0023377042649330715,2014-01-29,0.077972,0.0022,0.0269,-0.00015555555555555554
42,-0.19371916341641704,-0.02598106171892478,2014-01-30,0.077972,0.0022,0.027200000000000002,-0.00015555555555555554
43,0.16408622730026412,0.005544033855590769,2014-01-31,0.077972,0.0022,0.026699999999999998,-0.00015555555555555554
44,0.18578833333231515,-0.005617364673737635,2014-02-03,0.07826033333333333,0.0022333333333333333,0.026099999999999998,-0.00015555555555555554
45,1.447573030452931,-0.0049170755905089125,2014-02-04,0.07826033333333333,0.0022333333333333333,0.0264,-0.00015555555555555554
46,0.7468214247849714,-0.0016815517413371062,2014-02-05,0.07826033333333333,0.0022333333333333333,0.027000000000000003,-0.00015555555555555554
