,SHY,SHV,TLT,GOVT,IEF,BIL,IEI,VGSH,SCHO,VGIT,SCHR,SPTS,SPTI,SPTL,GBIL,VGLT,USFR,TLH,EDV,SGOV,CLTL,FLGV,TFLO,ZROZ,PLW
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-05,75.88546752929688,100.12879180908203,83.2213363647461,20.89706802368164,84.74790954589844,83.89796447753906,104.83644104003906,53.653602600097656,44.71028137207031,52.7533073425293,44.34374237060547,26.66282844543457,25.905595779418945,24.226585388183594,,51.45575714111328,,99.2453842163086,66.1124038696289,,,,,68.71803283691406,24.90104103088379
2013-08-06,75.87651824951172,100.12879180908203,83.46534729003906,20.905611038208008,84.77296447753906,83.89796447753906,104.81907653808594,53.66242980957031,44.71028137207031,52.745033264160156,44.34374237060547,26.574390411376953,25.909936904907227,24.265695571899414,,51.316627502441406,,99.27743530273438,66.3499526977539,,,,,69.01470184326172,24.9176082611084
2013-08-07,75.89447021484375,100.12879180908203,84.08738708496094,20.948326110839844,85.0818862915039,83.8796615600586,104.92315673828125,53.67121505737305,44.70143127441406,52.819698333740234,44.436500549316406,26.565547943115234,25.93603515625,24.449499130249023,,51.85768508911133,,99.81365203857422,67.20227813720703,,,,,69.84236907958984,25.075115203857422
2013-08-08,75.89447021484375,100.12879180908203,84.31568908691406,20.956867218017578,85.2071533203125,83.8796615600586,104.96651458740234,53.680049896240234,44.69260025024414,52.84461975097656,44.45335006713867,26.565547943115234,25.94038200378418,24.523794174194336,,52.066383361816406,,99.99772644042969,67.30709075927734,,,,,70.07661437988281,25.09168815612793
2013-08-09,75.87651824951172,100.11968231201172,84.44956970214844,20.973962783813477,85.26560974121094,83.89796447753906,105.02725219726562,53.66242980957031,44.71028137207031,52.86122131347656,44.45335006713867,26.565547943115234,25.94473648071289,24.543359756469727,,52.019996643066406,,100.15777587890625,67.19528198242188,,,,,70.30303955078125,25.116561889648438
2013-08-12,75.87651824951172,100.12879180908203,83.87481689453125,20.939777374267578,85.09866333007812,83.89796447753906,104.94918060302734,53.653602600097656,44.71028137207031,52.8363151550293,44.41963577270508,26.574390411376953,25.931682586669922,24.656763076782227,,51.7340087890625,,99.8536376953125,66.95774841308594,,,,,69.43634033203125,25.05853271484375
2013-08-13,75.84052276611328,100.12879180908203,82.66227722167969,20.845806121826172,84.3304443359375,83.89796447753906,104.51547241210938,53.63599395751953,44.674903869628906,52.55413818359375,44.183570861816406,26.521331787109375,25.85338020324707,24.0975284576416,,51.107933044433594,,98.86924743652344,65.50460052490234,,,,,67.92941284179688,24.80156707763672
2013-08-14,75.84052276611328,100.11968231201172,82.78827667236328,20.845806121826172,84.4056396484375,83.89796447753906,104.53285217285156,53.644805908203125,44.66604995727539,52.55413818359375,44.200439453125,26.530168533325195,25.866439819335938,24.140546798706055,,51.138851165771484,,98.90128326416016,65.72816467285156,,,,,68.04653930664062,24.81814956665039
2013-08-15,75.81356811523438,100.12879180908203,81.67024993896484,20.794544219970703,83.93802642822266,83.89796447753906,104.3160171508789,53.60950469970703,44.66604995727539,52.42964172363281,44.09928894042969,26.468273162841797,25.81859588623047,23.843360900878906,,50.5977783203125,,98.27705383300781,64.3099365234375,,,,,66.56301879882812,24.691911697387695
2013-08-16,75.82254791259766,100.12879180908203,81.38681030273438,20.77745819091797,83.61238098144531,83.89796447753906,104.1252212524414,53.62715148925781,44.674903869628906,52.33002853393555,43.98123550415039,26.51247787475586,25.78815269470215,23.729930877685547,,50.31175994873047,,97.91690826416016,64.27496337890625,,,,,66.16480255126953,24.550718307495117
2013-08-19,75.80461883544922,100.11060333251953,80.67821502685547,20.7176513671875,83.25333404541016,83.8796615600586,103.96906280517578,53.591880798339844,44.66604995727539,52.188941955566406,43.905364990234375,26.494792938232422,25.76639175415039,23.565685272216797,,49.97941970825195,,97.40473175048828,63.22700119018555,,,,,65.19662475585938,24.459362030029297
2013-08-20,75.82254791259766,100.12879180908203,81.3001937866211,20.77745819091797,83.70426177978516,83.89796447753906,104.2206039428711,53.60073471069336,44.674903869628906,52.36323547363281,44.04026412963867,26.51247787475586,25.801197052001953,23.718204498291016,,50.27312088012695,,97.9969253540039,63.716064453125,,,,,66.01646423339844,24.525808334350586
2013-08-21,75.77760314941406,100.11060333251953,80.41049194335938,20.7176513671875,83.17823791503906,83.89796447753906,103.84761047363281,53.591880798339844,44.657196044921875,52.19721984863281,43.84635925292969,26.45058250427246,25.7359561920166,23.51483917236328,,49.98711395263672,,97.38871765136719,62.88468933105469,,,,,64.85307312011719,24.409526824951172
