,GLD,OIL,GSG
,Adj Close,Adj Close,Adj Close
Date,,,
2013-09-09,133.91000366210938,44.34590148925781,33.63999938964844
2013-09-10,131.74000549316406,43.45000076293945,33.189998626708984
2013-09-11,131.6999969482422,43.720001220703125,33.25
2013-09-12,127.66999816894531,44.06159973144531,33.58000183105469
2013-09-13,127.81999969482422,44.09000015258789,33.59000015258789
2013-09-16,126.44999694824219,43.55550003051758,33.060001373291016
2013-09-17,126.5,43.08599853515625,32.56999969482422
2013-09-18,132.00999450683594,44.00859832763672,33.31999969482422
2013-09-19,131.75,43.900001525878906,32.970001220703125
2013-09-20,127.95999908447266,43.1890983581543,32.849998474121094
2013-09-23,127.55000305175781,42.7400016784668,32.369998931884766
2013-09-24,127.66000366210938,42.680999755859375,32.41999816894531
2013-09-25,128.7899932861328,42.5,32.36000061035156
2013-09-26,127.79000091552734,42.84000015258789,32.560001373291016
2013-09-27,128.97000122070312,42.65999984741211,32.40999984741211
2013-09-30,128.17999267578125,42.65999984741211,32.380001068115234
2013-10-01,124.58999633789062,42.40999984741211,31.8799991607666
2013-10-02,127.05999755859375,43.18000030517578,32.36000061035156
2013-10-03,127.18000030517578,42.959999084472656,32.27000045776367
2013-10-04,126.52999877929688,43.189998626708984,32.400001525878906
2013-10-07,127.63999938964844,43.09000015258789,32.599998474121094
2013-10-08,127.4000015258789,43.301700592041016,32.63999938964844
2013-10-09,126.11000061035156,42.5640983581543,32.459999084472656
2013-10-10,124.2699966430664,43.23460006713867,32.95000076293945
2013-10-11,122.5999984741211,42.715999603271484,32.79999923706055
2013-10-14,122.83000183105469,43.1619987487793,32.779998779296875
2013-10-15,123.7300033569336,42.79389953613281,32.4900016784668
2013-10-16,123.54000091552734,43.279998779296875,32.810001373291016
2013-10-17,127.41999816894531,42.395999908447266,32.52000045776367
2013-10-18,126.8499984741211,42.61000061035156,32.77000045776367
2013-10-21,126.9800033569336,42.24259948730469,32.52000045776367
2013-10-22,129.33999633789062,41.79349899291992,32.33000183105469
2013-10-23,128.69000244140625,41.0099983215332,31.860000610351562
2013-10-24,129.89999389648438,41.11600112915039,31.799999237060547
2013-10-25,130.4600067138672,41.4109992980957,31.979999542236328
2013-10-28,130.55999755859375,41.856201171875,32.18000030517578
2013-10-29,129.77000427246094,41.6973991394043,32.09000015258789
2013-10-30,129.60000610351562,41.34000015258789,32.11000061035156
2013-10-31,127.73999786376953,41.141998291015625,31.90999984741211
2013-11-01,126.94999694824219,40.709999084472656,31.3799991607666
2013-11-04,126.80999755859375,40.53990173339844,31.1200008392334
2013-11-05,126.55999755859375,40.07400131225586,31.020000457763672
2013-11-06,127.19999694824219,40.652000427246094,31.09000015258789
2013-11-07,126.16000366210938,40.36669921875,30.84000015258789
2013-11-08,124.27999877929688,40.54199981689453,31.030000686645508
2013-11-11,123.87000274658203,40.77690124511719,31.299999237060547
2013-11-12,122.44999694824219,40.03799819946289,31.030000686645508
2013-11-13,122.8499984741211,40.35200119018555,31.15999984741211
2013-11-14,124.2699966430664,40.50979995727539,31.350000381469727
2013-11-15,124.31999969482422,40.51750183105469,31.420000076293945
2013-11-18,122.9000015258789,40.16939926147461,31.139999389648438
2013-11-19,122.94999694824219,40.202701568603516,31.15999984741211
