,LQD,SHY,SHV,TLT,GOVT,IEF,BIL,IEI,VGSH,SCHO,VGIT,SCHR,SPTS,SPTI,SPTL,VGLT,USFR,TLH,EDV,TFLO,ZROZ,PLW
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,
2013-11-20,82.18535614013672,75.44847869873047,98.87081146240234,80.78855895996094,20.811628341674805,84.29557037353516,82.76393127441406,104.9562759399414,53.31117248535156,44.37822341918945,52.70890426635742,44.24329376220703,26.597091674804688,25.82614517211914,23.615253448486328,50.060237884521484,,97.96056365966797,62.27644729614258,,65.49017333984375,24.51070785522461
2013-11-21,82.34439849853516,75.48419952392578,98.87081146240234,80.92222595214844,20.811628341674805,84.37049865722656,82.78199005126953,104.99083709716797,53.30243682861328,44.36945343017578,52.73371124267578,44.26846694946289,26.526939392089844,25.813169479370117,23.66598892211914,50.129661560058594,,97.9526138305664,62.379669189453125,,65.76573944091797,24.510040283203125
2013-11-22,82.63358306884766,75.46635437011719,98.87081146240234,81.67678833007812,20.845640182495117,84.61181640625,82.76393127441406,105.06856536865234,53.31989669799805,44.37822341918945,52.81636428833008,44.32713317871094,26.526939392089844,25.834808349609375,23.82991600036621,50.50775146484375,,98.43064880371094,63.35004806518555,,66.89167022705078,24.651227951049805
2013-11-25,82.7782211303711,75.46635437011719,98.87081146240234,81.91259002685547,20.854143142700195,84.6783676147461,82.76393127441406,105.1290054321289,53.28492736816406,44.37822341918945,52.841156005859375,44.335514068603516,26.54448127746582,25.839134216308594,23.865022659301758,50.654335021972656,,98.59001159667969,63.549659729003906,,67.17508697509766,24.684268951416016
2013-11-26,82.94441223144531,75.47528076171875,98.87081146240234,82.21915435791016,20.8796443939209,84.86146545410156,82.76393127441406,105.2153549194336,53.293701171875,44.38701248168945,52.91552734375,44.402584075927734,26.605857849121094,25.860769271850586,24.0445556640625,50.924400329589844,,98.82898712158203,64.08646392822266,,67.64749145507812,24.75035858154297
2013-11-27,82.95893096923828,75.47528076171875,98.87081146240234,82.07768249511719,20.862642288208008,84.67003631591797,82.78199005126953,105.14634704589844,53.293701171875,44.38701248168945,52.85768127441406,44.36066436767578,26.535703659057617,25.839134216308594,23.94308853149414,50.68520736694336,,98.61389923095703,63.65977096557617,,67.15933227539062,24.68954849243164
2013-11-29,82.89385986328125,75.48419952392578,98.86186218261719,82.10126495361328,20.862642288208008,84.62012481689453,82.74581909179688,105.14634704589844,53.270973205566406,44.37822341918945,52.81135940551758,44.335514068603516,26.535703659057617,25.830480575561523,23.919662475585938,50.6666145324707,,98.5501480102539,63.90751266479492,,67.3482894897461,24.676990509033203
2013-12-02,82.50077819824219,75.43865966796875,98.85285949707031,81.46260833740234,20.820091247558594,84.2566909790039,82.76393127441406,104.91554260253906,53.27970504760742,44.36418914794922,52.67068862915039,44.25159454345703,26.433069229125977,25.805370330810547,23.779993057250977,50.41905212402344,,98.03909301757812,63.301883697509766,,66.86800384521484,24.57687759399414
2013-12-03,82.71106719970703,75.45653533935547,98.85285949707031,81.76227569580078,20.820091247558594,84.40675354003906,82.78199005126953,105.01060485839844,53.3146858215332,44.3905029296875,52.794803619384766,44.318729400634766,26.41551399230957,25.814014434814453,23.842594146728516,50.59696578979492,,98.2227554321289,63.72170639038086,,67.30890655517578,24.6181697845459
2013-12-04,82.44274139404297,75.43865966796875,98.86186218261719,80.98177337646484,20.803071975708008,84.02334594726562,82.78199005126953,104.82044982910156,53.29717254638672,44.37297439575195,52.65410232543945,44.20124816894531,26.433069229125977,25.779359817504883,23.635238647460938,50.13272476196289,,97.6398696899414,62.72378158569336,,66.13578796386719,24.477737426757812
