,Portfolio Annual,Gini,Sharpe Ratio,169 Weight,161 Weight,162 Weight,13 Weight,143 Weight,601 Weight,603 Weight,701 Weight,712 Weight,702 Weight,SPY Weight,QQQ Weight,XLK Weight,SHV Weight,SHY Weight,IEI Weight,LQD Weight,GLD Weight
314,3.8131225538226454,4.089442713370954,0.9324308520951167,0.10697419601955777,0.03599066509610418,0.03134571199835451,0.026689634320492702,0.05240434594222276,0.05803338563534096,0.04712526889358735,0.09886946930226075,0.06276381098886491,0.031690836886408044,0.009681062729361494,0.017557277617082485,0.013065537394250261,0.052969449826807735,0.11524056947182656,0.05708871724970617,0.09176789580891499,0.0907421648188566
315,4.103506033420823,4.443317996970169,0.9235229250346118,0.018154167721249878,0.04304851991851477,0.09705597535182917,0.05864883318532407,0.08604161427096592,0.0711729736483043,0.07520072983452213,0.07915464671414967,0.10271727563361653,0.03391820669870674,0.03691164693481006,0.029260193185890904,0.00015536214948142386,0.0746211378236753,0.019593399006045103,0.05379463583803602,0.046576877045456086,0.07397380503942198
316,4.5505198207560715,4.367067674664131,1.0420080840872359,0.03319440474265907,0.02345314575712052,0.03660068449987862,0.021225255693997372,0.044564232510260884,0.05775330207359797,0.07612604946899665,0.06182781364554721,0.00938844772214125,0.12897998998882887,0.08143890084352169,0.06601805536018514,0.036588078220869846,0.05255578297229553,0.08912157470435396,0.05741592757735643,0.04137033280658045,0.08237802141180857
317,5.936847686331537,5.610949888144181,1.0580824645887448,0.09542075364120309,0.1051689361932866,0.005266363147401434,0.08995434491960612,0.008006936977592624,0.0071461266698463095,0.08797806725952932,0.10289139376770359,0.0018132267374893216,0.042223285408080326,0.02600368254222148,0.10378031833322533,0.0313503720424956,0.05917015393089555,0.045158464368769316,0.008480051986961019,0.07190758828463101,0.10827993378906203
318,6.042041491511818,5.875849383298548,1.0282839292453023,0.007278966708708334,0.12277090594282268,0.10194197798567384,0.0974994872237347,0.033229750531432276,0.030125543633517732,0.06881030802872119,0.04072516033360452,0.005160253275828484,0.08445701930314785,0.013087485109901839,0.042872544815229986,0.11398392666844222,0.10328209096759142,0.03298934881086788,0.010870642917294464,0.03131408069069872,0.0596005070527819
319,6.691124824751227,6.4717968495247815,1.0338898114891462,0.08669506579400864,0.01924648591190994,0.08381061196800306,0.08817437475401776,0.054560735090043125,0.06442967514709698,0.0616872212893411,0.08918666544030417,0.034331366822218004,0.05586540817480746,0.07209945570685665,0.07842012400469282,0.07330224677998713,0.005385406986224768,0.06568016330132603,0.02109258607044787,0.013207450441294344,0.032824956317420155
320,5.596080776337287,5.6650625478901135,0.9878232992187318,0.024518658036453752,0.0505667424112196,0.012366050604195742,0.042667502940588145,0.11050388550490396,0.012257915273525245,0.06738718877220035,0.010242831766362032,0.08657792632957317,0.08753683794323969,0.10130406915503953,0.07403878535390074,0.02800196460118897,0.0010177754659604994,0.06078965064090308,0.020989982854708943,0.085367910606615,0.12386432173942157
321,5.676386533436606,5.464084955264332,1.0388540039019218,0.04948316364798612,0.05770168590382339,0.06978611072598742,0.046395960185754405,0.0017582778784984827,0.05646388288311493,0.08975373741306246,0.03898533242367446,0.06759821616667173,0.08265091981907494,0.09793878960018307,0.09117367961193452,0.032754936748755535,0.006056469835580347,0.019621386804833198,0.026793832591218144,0.10187722747410691,0.06320639028573986
322,5.146340458448195,5.346730542503698,0.9625210056009917,0.08374998404878707,0.08844607528449233,0.00049352310845789,0.034193585094477605,0.11483461408183435,0.014371820069716835,0.016431170830611058,0.07437812766929228,0.01403573424751908,0.04672585454733743,0.02701566685778044,0.06649414575806288,0.02161604392132174,0.09445248818620237,0.07469759131362567,0.04838869881471551,0.06939838399861054,0.11027649216715493
323,6.101394625349643,5.961912696955182,1.023395499982027,0.08061017448682029,0.07972801242378809,0.07307060391942985,0.025478193049469498,0.038731591725698025,0.036207680145185474,0.0662759466815015,0.06078148870672409,0.02831502277778764,0.02222860615220244,0.06214738677966429,0.08962062401686707,0.05938218575761538,0.043352698607975935,0.06147292610490299,0.0491778057619232,0.07024776355640687,0.053171289346037376
324,6.425231216158722,6.392529986905371,1.005115537873164,0.026551002510764466,0.026574233952155194,0.08688164668951427,0.040695010724841385,0.05676221764077168,0.0031865138760992363,0.004727419644018316,0.06334805008279142,0.10302549908410821,0.03981969869654096,0.11356019744643092,0.11507977759191608,0.06356362385357317,0.031435488662296035,0.05157283678695975,0.0879522850815431,0.0575595970434763,0.02770490063219937
325,3.4435496024634027,3.6140234424844744,0.952829901982075,0.06358221503131109,0.05933263796385945,0.046252079876402855,0.062190510841715334,0.015599948230987069,0.0187274578917697,0.13063920597691353,0.026736130278941894,0.09108776828759874,0.12431503214571665,0.026707408097043056,0.0010766672176790405,0.005013951694788173,0.07355795966438618,0.033548960912814084,0.10753618866831205,0.06583774136136784,0.04825813585839331
326,4.076119742254369,3.88767170999886,1.0484732370202021,0.036227437289754104,0.05872843253424218,0.035467679004644155,0.004798531209437756,0.02696403370517673,0.10472056052883434,0.014807249239895707,0.10169722182625426,0.0836724257216634,0.056495604164166005,0.029114133005171298,0.01525458290342874,0.08994991772142387,0.07966402307591629,0.09513458638916311,0.05805548119790093,0.00863054901440024,0.10061755146852701
327,5.688334320479682,5.5848210705140255,1.0185347477848792,0.017091665170348946,0.08010226470734347,0.07785306504027714,0.0871997799574476,0.04029868352077614,0.07630534724611163,0.10217358545560491,0.1035996995250844,0.028608361650114725,0.07971099273426116,0.08478285558214876,0.02233127108546576,0.08844066608731725,0.0726939363054973,0.013175263117310508,0.01638414292360351,0.008281322774099164,0.000967097117187483
328,4.417648957954601,4.825076486838112,0.9155603999242508,0.09901991181395034,0.05617872094314133,0.03662184011480043,0.03337266717966432,0.0923783401067106,0.06366118813638086,0.07644326437927446,0.09953300803488217,0.08130886804573648,0.0953507616228559,0.0035139711166285326,0.014733256028187163,0.029460285019759735,0.006169369162477653,0.022636322195845618,0.026730456245646503,0.07133294107941722,0.09155482877464084
329,5.37107142916684,5.164502333830625,1.0399978704594754,0.09590955311049708,0.03178076977425941,0.0921502388193562,0.08066256288971425,0.013108101652547308,0.06669137819355211,0.03555533105488936,0.0735795339657675,0.07956248089704361,0.08676185165136992,0.03144065702430992,0.04671545399024736,0.053102817325069177,0.0018669236001312235,0.07763805969672838,0.04217320354702362,0.04300358997891599,0.04829749282857749
