,169,170,603,601,701,714,XLK,XLV,XOP,QQQ,SHV,BIL,273011,695437,593038,LMB,AGM,TDS,MCD,FMY,EOI
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2013-09-19,,,,,,,28.473827362060547,44.117820739746094,225.7433319091797,72.7327651977539,100.13784790039062,83.89794921875,,,,,25.803674697875977,21.043930053710938,75.40959167480469,8.820106506347656,5.9108052253723145
2013-09-20,,,,,,,28.271446228027344,44.03496170043945,224.2324676513672,72.4831771850586,100.13784790039062,83.87962341308594,,,,,25.66901397705078,21.162776947021484,74.62407684326172,8.775025367736816,5.844180583953857
2013-09-22,323.69,1251.72,281.25,304.75,275.79,309.9,,,,,,,14500.0,3971.0,5631.0,,,,,,
2013-09-23,327.44,1263.71,281.66,305.29,275.98,310.46,28.358678817749023,43.72737503051758,224.33518981933594,72.33637237548828,100.13784790039062,83.87962341308594,14620.0,4016.0,5662.0,,25.444568634033203,21.69761085510254,74.9167251586914,8.769388198852539,5.829905033111572
2013-09-24,328.01,1270.62,282.38,305.93,276.29,311.34,28.23655891418457,43.5052375793457,225.39720153808594,72.33637237548828,100.13784790039062,83.87962341308594,14590.0,3974.0,5751.0,,25.324851989746094,21.890737533569336,75.30176544189453,8.775025367736816,5.820385932922363
2013-09-25,,,,,,,28.192949295043945,43.16347885131836,226.28805541992188,72.08860778808594,100.14691925048828,83.87962341308594,,,,,25.190200805664062,21.905593872070312,75.17858123779297,8.853926658630371,5.796589374542236
2013-09-26,,,,,,,28.297616958618164,43.31726837158203,227.72695922851562,72.64836120605469,100.14691925048828,83.87962341308594,,,,,25.077966690063477,22.121007919311523,75.61750793457031,8.814471244812012,5.806109428405762
2013-09-27,,,,,,,28.12315559387207,43.31726837158203,227.21304321289062,72.55661010742188,100.14691925048828,83.87962341308594,,,,,24.99567413330078,22.00959014892578,74.7934799194336,8.763753890991211,5.806109428405762
2013-09-29,334.96,1284.17,282.68,306.24,276.29,311.78,,,,,,,14470.0,3957.0,5778.0,,,,,,
2013-09-30,331.98,1278.18,282.53,305.92,276.48,311.42,27.948701858520508,43.22328567504883,225.60279846191406,72.38227844238281,100.13784790039062,83.87962341308594,14520.0,3880.0,5785.0,,24.973230361938477,21.95016860961914,74.09270477294922,8.769388198852539,5.7394795417785645
2013-10-01,334.83,1284.23,282.41,305.63,276.42,311.01,28.192949295043945,43.77009963989258,230.09078979492188,73.11634826660156,100.12876892089844,83.89794921875,14730.0,3928.0,5795.0,,25.414634704589844,22.069013595581055,74.03111267089844,8.8855562210083,5.8156256675720215
2013-10-02,336.32,1281.25,282.62,305.97,276.55,310.85,28.201663970947266,43.66756820678711,230.5705108642578,73.08880615234375,100.11970520019531,83.89794921875,14600.0,3950.0,5674.0,,25.190200805664062,22.284433364868164,73.37648010253906,8.806218147277832,5.791830062866211
2013-10-03,331.03,1258.65,282.81,306.21,276.71,311.24,27.957422256469727,43.283103942871094,231.0159149169922,72.2354736328125,100.11970520019531,83.89794921875,14210.0,3919.0,5671.0,,24.81611442565918,22.031871795654297,72.90672302246094,8.78355598449707,5.763275146484375
2013-10-04,,,,,,,28.070823669433594,43.76155090332031,234.3391571044922,72.85942077636719,100.12876892089844,83.89794921875,,,,,24.72633934020996,21.69761085510254,72.92982482910156,8.800554275512695,5.796589374542236
2013-10-06,334.26,1274.64,283.2,306.57,276.69,311.63,,,,,,,14500.0,3910.0,5685.0,,,,,,
2013-10-07,333.33,1284.84,283.17,306.55,276.74,311.02,27.948701858520508,43.2745475769043,230.5705108642578,72.25379180908203,100.11970520019531,83.89794921875,14540.0,3906.0,5686.0,,24.55426597595215,21.467334747314453,72.66798400878906,8.777886390686035,5.744240760803223
2013-10-08,334.25,1281.41,282.45,306.23,276.61,309.46,27.50382423400879,42.65085220336914,226.01394653320312,70.8590087890625,100.11970520019531,83.89794921875,14420.0,3949.0,5680.0,,24.524341583251953,21.073640823364258,72.34452819824219,8.755219459533691,5.701404094696045
2013-10-09,330.15,1292.62,282.48,306.36,276.61,309.99,27.608501434326172,42.57395935058594,223.99258422851562,70.6387939453125,100.10150146484375,83.87962341308594,14550.0,4036.0,5691.0,,24.890933990478516,20.947364807128906,71.82856750488281,8.760886192321777,5.677611827850342
2013-10-10,332.71,1302.15,282.45,306.24,276.5,309.99,28.070823669433594,43.5650520324707,230.87893676757812,72.13450622558594,100.10150146484375,83.8613510131836,14530.0,4039.0,5694.0,,25.803674697875977,21.5861873626709,72.72960662841797,8.78921890258789,5.758516311645508
2013-10-11,,,,,,,28.306350708007812,43.77009963989258,234.71600341796875,72.70339965820312,100.11062622070312,83.84300231933594,,,,,25.945825576782227,21.705036163330078,72.96063995361328,8.772220611572266,5.796589374542236
2013-10-13,331.06,1289.91,282.62,306.44,276.53,310.33,,,,,,,14340.0,4035.0,5590.0,,,,,,
2013-10-14,331.6,1217.61,282.99,306.39,276.46,311.06,28.402301788330078,44.086204528808594,236.70314025878906,73.2173080444336,100.10150146484375,83.84300231933594,14460.0,4062.0,5615.0,,26.11041831970215,21.653038024902344,72.94519805908203,8.811887741088867,5.791830062866211
2013-10-15,332.35,1216.14,282.73,306.19,276.44,311.05,28.227834701538086,43.80427551269531,236.66876220703125,72.9328384399414,100.0833969116211,83.84300231933594,14440.0,4070.0,5580.0,,25.594196319580078,21.534183502197266,72.23672485351562,8.709882736206055,5.791830062866211
2013-10-16,332.29,1221.47,282.52,306.23,276.41,311.02,28.498252868652344,44.701377868652344,243.3153839111328,73.75867462158203,100.09246826171875,83.8613510131836,14170.0,4067.0,5598.0,,25.549312591552734,21.95016860961914,73.33031463623047,8.715548515319824,5.839420318603516
2013-10-17,330.77,1220.23,283.24,307.3,276.43,312.43,28.506973266601562,45.077308654785156,244.8227081298828,74.18077850341797,100.11970520019531,83.8613510131836,14000.0,4010.0,5550.0,,25.571752548217773,22.180431365966797,73.5228271484375,8.726886749267578,5.9060516357421875
2013-10-18,,,,,,,28.995468139648438,44.897884368896484,249.13949584960938,75.38287353515625,100.12876892089844,83.87962341308594,,,,,26.095460891723633,22.35128402709961,73.31487274169922,8.726886749267578,5.963156223297119
2013-10-20,335.53,1225.79,283.91,307.98,276.47,313.55,,,,,,,14340.0,3990.0,5676.0,,,,,,
2013-10-21,337.27,1224.33,284.1,308.0,276.4,313.87,29.152488708496094,44.667198181152344,247.0496826171875,75.54805755615234,100.12876892089844,83.87962341308594,14440.0,3989.0,5779.0,,25.82612419128418,22.150724411010742,72.84513854980469,8.755219459533691,5.9917144775390625
2013-10-22,339.12,1249.33,284.26,308.38,276.22,314.03,29.143753051757812,45.08584976196289,245.2338104248047,75.65815734863281,100.11970520019531,83.87962341308594,14700.0,4031.0,5807.0,,26.005672454833984,22.403276443481445,73.25328063964844,8.840224266052246,6.023337364196777
2013-10-23,333.36,1249.49,283.93,308.28,276.47,313.54,29.004186630249023,45.00040054321289,238.96429443359375,75.1993408203125,100.12876892089844,83.87962341308594,14570.0,3990.0,5693.0,,26.155311584472656,22.26957130432129,72.55245208740234,8.874223709106445,6.018544673919678
2013-10-24,335.15,1259.82,283.92,308.31,276.46,313.33,29.073978424072266,45.00040054321289,245.02830505371094,75.52970886230469,100.12876892089844,83.8613510131836,14720.0,3935.0,5610.0,,26.491971969604492,22.321577072143555,72.9144287109375,8.874223709106445,6.028130054473877
2013-10-25,,,,,,,29.222267150878906,45.06019973754883,244.75425720214844,76.07112121582031,100.12876892089844,83.87962341308594,,,,,26.96331024169922,22.952959060668945,72.99144744873047,8.868555068969727,6.0041680335998535
2013-10-27,334.84,1263.25,284.16,308.59,276.58,313.61,,,,,,,14710.0,3925.0,5667.0,,,,,,
2013-10-28,333.26,1255.29,284.19,308.61,276.53,313.89,29.318214416503906,45.214012145996094,243.6922149658203,76.08946228027344,100.11062622070312,83.87962341308594,14690.0,3920.0,5632.0,,26.93338394165039,23.309520721435547,73.44580841064453,8.942225456237793,5.994588375091553
2013-10-29,333.87,1262.76,284.32,308.58,276.46,314.2,29.510129928588867,45.51304244995117,246.29592895507812,76.21793365478516,100.11062622070312,83.8613510131836,14380.0,4000.0,5679.0,,26.634111404418945,23.019813537597656,73.969482421875,8.942225456237793,6.023337364196777
2013-10-30,324.09,1274.46,284.52,308.7,276.47,314.42,29.44906997680664,45.26527404785156,241.63645935058594,76.14451599121094,100.11970520019531,83.8613510131836,14290.0,4090.0,5698.0,,26.559310913085938,22.97524642944336,73.95408630371094,8.930889129638672,6.023337364196777
2013-10-31,320.0,1282.26,284.21,308.29,276.42,313.91,29.35312271118164,45.08584976196289,238.3817901611328,75.97013854980469,100.11970520019531,83.8613510131836,13900.0,4140.0,5798.0,,26.70145606994629,23.16095542907715,74.33143615722656,8.947893142700195,6.018544673919678
