,LQD,SHY,SHV,TLT,GOVT,IEF,BIL,IEI,VGSH,SCHO,VGIT,SCHR,SPTS,SPTI,SPTL,GBIL,VGLT,USFR,TLH,EDV,SGOV,CLTL,FLGV,TFLO,ZROZ,PLW
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-12,82.46515655517578,75.8764877319336,100.12877655029297,83.87477111816406,20.939783096313477,85.0986099243164,83.89795684814453,104.94918060302734,53.65358352661133,44.710304260253906,52.83633041381836,44.41963195800781,26.574386596679688,25.93168067932129,24.656757354736328,,51.73398971557617,,99.85360717773438,66.957763671875,,,,,69.43637084960938,25.05853271484375
2013-08-13,81.87870788574219,75.84053802490234,100.12877655029297,82.66232299804688,20.845808029174805,84.3304443359375,83.89795684814453,104.51551055908203,53.635955810546875,44.674896240234375,52.55413055419922,44.1835823059082,26.52132797241211,25.8533992767334,24.0975341796875,,51.10792541503906,,98.86927795410156,65.50460052490234,,,,,67.92941284179688,24.801563262939453
2013-08-14,81.74117279052734,75.84053802490234,100.11968231201172,82.78831481933594,20.845808029174805,84.40558624267578,83.89795684814453,104.53286743164062,53.64478302001953,44.66606140136719,52.55413055419922,44.200439453125,26.530176162719727,25.866437911987305,24.14055061340332,,51.13884353637695,,98.90129852294922,65.72815704345703,,,,,68.0465316772461,24.818147659301758
2013-08-15,81.16201782226562,75.81356048583984,100.12877655029297,81.67024230957031,20.794546127319336,83.93805694580078,83.89795684814453,104.31600952148438,53.60953140258789,44.66606140136719,52.42964172363281,44.099273681640625,26.468271255493164,25.81859016418457,23.843345642089844,,50.5977668762207,,98.27708435058594,64.30989074707031,,,,,66.56302642822266,24.69190788269043
2013-08-16,80.75660705566406,75.82254791259766,100.12877655029297,81.38681030273438,20.777462005615234,83.61241912841797,83.89795684814453,104.1252212524414,53.62715148925781,44.674896240234375,52.330039978027344,43.98125076293945,26.512479782104492,25.788158416748047,23.72993278503418,,50.31178665161133,,97.9168930053711,64.27497863769531,,,,,66.16480255126953,24.550710678100586
2013-08-19,80.31499481201172,75.80453491210938,100.11060333251953,80.67822265625,20.717653274536133,83.2533950805664,83.87963104248047,103.9690933227539,53.59190368652344,44.66606140136719,52.18894577026367,43.9053840637207,26.494796752929688,25.766395568847656,23.565692901611328,,49.97939682006836,,97.40473175048828,63.227020263671875,,,,,65.19661712646484,24.459360122680664
2013-08-20,80.80728912353516,75.82254791259766,100.12877655029297,81.30018615722656,20.777462005615234,83.70426177978516,83.89795684814453,104.22059631347656,53.6007194519043,44.674896240234375,52.363243103027344,44.040260314941406,26.512479782104492,25.801204681396484,23.718198776245117,,50.27312469482422,,97.99696350097656,63.716068267822266,,,,,66.0164566040039,24.525802612304688
2013-08-21,80.32222747802734,75.77757263183594,100.11060333251953,80.4105224609375,20.717653274536133,83.17822265625,83.89795684814453,103.84764099121094,53.59190368652344,44.65719223022461,52.197261810302734,43.84636688232422,26.450576782226562,25.735958099365234,23.514846801757812,,49.987117767333984,,97.38872528076172,62.88469696044922,,,,,64.8530502319336,24.409517288208008
2013-08-22,80.69143676757812,75.75064849853516,100.11060333251953,81.22936248779297,20.709110260009766,83.14482879638672,83.87963104248047,103.66551971435547,53.574275970458984,44.630645751953125,52.06444549560547,43.76203918457031,26.45942497253418,25.696813583374023,23.714305877685547,,50.064430236816406,,97.54878234863281,63.85580062866211,,,,,66.15699005126953,24.475969314575195
2013-08-23,81.23440551757812,75.75064849853516,100.11060333251953,82.11116790771484,20.760374069213867,83.61241912841797,83.89795684814453,103.88235473632812,53.574275970458984,44.63950729370117,52.21384048461914,43.87165451049805,26.468271255493164,25.735958099365234,23.945024490356445,,50.667320251464844,,98.26903533935547,65.05048370361328,,,,,67.49215698242188,24.66698455810547
2013-08-26,81.40089416503906,75.77757263183594,100.11968231201172,82.52059936523438,20.794546127319336,83.7793960571289,83.87963104248047,104.06449127197266,53.6007194519043,44.65719223022461,52.30512619018555,43.95594787597656,26.432897567749023,25.775102615356445,24.04279136657715,,50.94558334350586,,98.53315734863281,65.54652404785156,,,,,67.9137954711914,24.716829299926758
2013-08-27,81.7484130859375,75.81356048583984,100.12877655029297,83.55988311767578,20.854345321655273,84.25534057617188,83.87963104248047,104.31600952148438,53.6007194519043,44.66606140136719,52.46284103393555,44.11614227294922,26.48595428466797,25.831642150878906,24.29306411743164,,51.54076385498047,,99.23741149902344,67.01364135742188,,,,,69.28021240234375,24.8912296295166
2013-08-28,81.7629165649414,75.76858520507812,100.12877655029297,82.88276672363281,20.811641693115234,83.91300201416016,83.87963104248047,104.10784149169922,53.59190368652344,44.64836120605469,52.33834457397461,44.00654983520508,26.503639221191406,25.783803939819336,24.156200408935547,,51.09247589111328,,98.7572250366211,66.23815155029297,,,,,68.4994125366211,24.799880981445312
2013-08-29,81.84256744384766,75.78658294677734,100.12877655029297,83.54411315917969,20.811641693115234,83.99650573730469,83.89795684814453,104.159912109375,53.59190368652344,44.65719223022461,52.41302490234375,44.040260314941406,26.512479782104492,25.788158416748047,24.312620162963867,,51.43256378173828,,99.08533477783203,67.10448455810547,,,,,69.60032653808594,24.874629974365234
2013-08-30,81.84256744384766,75.7955322265625,100.12877655029297,83.44962310791016,20.820180892944336,83.83785247802734,83.89795684814453,104.04712677001953,53.58574676513672,44.64836120605469,52.329105377197266,43.98125076293945,26.424049377441406,25.766395568847656,24.29306411743164,,51.708534240722656,,98.9732666015625,67.27215576171875,,,,,69.88140869140625,24.86632537841797
2013-09-03,81.52005767822266,75.76679992675781,100.13787078857422,82.27262115478516,20.74921989440918,83.36201477050781,83.89795684814453,103.83018493652344,53.550437927246094,44.63330841064453,52.1961669921875,43.86903381347656,26.408126831054688,25.738534927368164,23.97515296936035,,50.7705078125,,98.0430908203125,65.70020294189453,,,,,68.06993865966797,24.67530632019043
2013-09-04,81.2222671508789,75.69486236572266,100.13787078857422,82.09105682373047,20.732120513916016,83.08609771728516,83.89795684814453,103.5523910522461,53.52400588989258,44.58904266357422,52.02998352050781,43.72562789916992,26.408126831054688,25.686275482177734,23.947721481323242,,50.6309700012207,,97.80254364013672,65.71417236328125,,,,,68.1090087890625,24.60055160522461
2013-09-05,80.55408477783203,75.62290954589844,100.12877655029297,80.94642639160156,20.63806915283203,82.4505386352539,83.89795684814453,103.0924301147461,53.47991180419922,44.55363464355469,51.78903579711914,43.49783706665039,26.390422821044922,25.607894897460938,23.673307418823242,,49.99524688720703,,96.93641662597656,64.18415832519531,,,,,66.51617431640625,24.401229858398438
2013-09-06,80.67025756835938,75.69486236572266,100.13787078857422,81.34898376464844,20.663732528686523,82.95230102539062,83.89795684814453,103.49170684814453,53.53281784057617,44.606727600097656,51.971832275390625,43.65816116333008,26.32849884033203,25.668865203857422,23.712512969970703,,50.38285827636719,,97.40956115722656,64.40071868896484,,,,,66.91436767578125,24.54241180419922
