Symbol,sector,description,total_return,total_volatility,total_sharpe,annual_return,annual_volatility,annual_sharpe,monthly_return,monthly_volatility,monthly_sharpe,forecast_return,forecast_volatility,forecast_sharpe
727,Israel government bonds indexes,תל גוב-צמודות 5+,,,,,,,,,,,,
728,Israel government bonds indexes,תל גוב-צמודות 10+,,,,,,,,,,,,
729,Israel government bonds indexes,תל גוב-שקלי 5-10,,,,,,,,,,,,
730,Israel government bonds indexes,תל גוב-שקלי 10+,,,,,,,,,,,,
731,Israel government bonds indexes,תל בונד-צמודות מעלה,,,,,,,,,,,,
732,Israel government bonds indexes,תל בונד-שקלי מעלה,,,,,,,,,,,,
733,Israel government bonds indexes,תל בונד שקלי-בנקים וביטוח,,,,,,,,,,,,
734,Israel government bonds indexes,"תל בונד צמודות-נדל""ן",,,,,,,,,,,,
735,Israel government bonds indexes,תל בונד-צמודות A,,,,,,,,,,,,
736,Israel government bonds indexes,תל בונד-צמודות AA-AAA,,,,,,,,,,,,
737,Israel government bonds indexes,תל בונד-שקלי A,,,,,,,,,,,,
738,Israel government bonds indexes,תל בונד-שקלי AA-AAA,,,,,,,,,,,,
739,Israel government bonds indexes,תל בונד-דולר,,,,,,,,,,,,
740,Israel government bonds indexes,All-Bond שקלי,,,,,,,,,,,,
742,Israel government bonds indexes,תל בונד שקלי-100,,,,,,,,,,,,
743,Israel government bonds indexes,תל בונד-100,,,,,,,,,,,,
SPY,US stocks indexes,SPDR S&P 500,,,,,,,,,,,,
QQQ,US stocks indexes,"Invesco QQQ Trust, Series 1",,,,,,,,,,,,
^RUT,US stocks indexes,Russell 2000,,,,,,,,,,,,
IWM,US stocks indexes,iShares Russell 2000 ETF,,,,,,,,,,,,
DIA,US stocks indexes,SPDR Dow Jones Industrial Avera,,,,,,,,,,,,
EFA,US stocks indexes,iShares MSCI EAFE ETF,,,,,,,,,,,,
EEM,US stocks indexes,iShares MSCI Emerging Index Fun,,,,,,,,,,,,
XLF,US stocks indexes,SPDR Select Sector Fund - Finan,,,,,,,,,,,,
XLE,US stocks indexes,SPDR Select Sector Fund - Energ,,,,,,,,,,,,
XLU,US stocks indexes,SPDR Select Sector Fund - Utili,,,,,,,,,,,,
XLK,US stocks indexes,SPDR Select Sector Fund - Techn,,,,,,,,,,,,
XLI,US stocks indexes,SPDR Select Sector Fund - Indus,,,,,,,,,,,,
XLB,US stocks indexes,Materials Select Sector SPDR,,,,,,,,,,,,
XLP,US stocks indexes,SPDR Select Sector Fund - Consu,,,,,,,,,,,,
XLV,US stocks indexes,SPDR Select Sector Fund - Healt,,,,,,,,,,,,
XLY,US stocks indexes,SPDR Select Sector Fund - Consu,,,,,,,,,,,,
XBI,US stocks indexes,SPDR Series Trust  SPDR S&P Bio,,,,,,,,,,,,
XHB,US stocks indexes,SPDR Series Trust SPDR Homebuil,,,,,,,,,,,,
XME,US stocks indexes,SPDR S&P Metals & Mining ETF,,,,,,,,,,,,
XOP,US stocks indexes,SPDR S&P Oil & Gas Explor & Pro,,,,,,,,,,,,
XRT,US stocks indexes,SPDR S&P Retail ETF,,,,,,,,,,,,
XES,US stocks indexes,SPDR Series Trust SPDR S&P Oil ,,,,,,,,,,,,
XSW,US stocks indexes,SPDR S&P Software & Services ET,,,,,,,,,,,,
XSD,US stocks indexes,SPDR S&P Semiconductor ETF,,,,,,,,,,,,
XTN,US stocks indexes,SPDR S&P Transportation ETF,,,,,,,,,,,,
XAR,US stocks indexes,SPDR S&P Aerospace & Defense ET,,,,,,,,,,,,
LQD,US bonds indexes,iShares iBoxx $ Investment Grad,,,,,,,,,,,,
SHY,US bonds indexes,iShares 1-3 Year Treasury Bond ,,,,,,,,,,,,
SHV,US bonds indexes,iShares Short Treasury Bond ETF,,,,,,,,,,,,
TLT,US bonds indexes,iShares 20+ Year Treasury Bond ,,,,,,,,,,,,
GOVT,US bonds indexes,iShares U.S. Treasury Bond ETF,,,,,,,,,,,,
IEF,US bonds indexes,iShares 7-10 Year Treasury Bond,,,,,,,,,,,,
BIL,US bonds indexes,SPDR Bloomberg 1-3 Month T-Bill,,,,,,,,,,,,
IEI,US bonds indexes,iShares 3-7 Year Treasury Bond ,,,,,,,,,,,,
VGSH,US bonds indexes,Vanguard Short-Term Treasury ET,,,,,,,,,,,,
SCHO,US bonds indexes,Schwab Short-Term U.S. Treasury,,,,,,,,,,,,
VGIT,US bonds indexes,Vanguard Intermediate-Term Trea,,,,,,,,,,,,
SCHR,US bonds indexes,Schwab Intermediate-Term U.S. T,,,,,,,,,,,,
SPTS,US bonds indexes,SPDR Portfolio Short Term Treas,,,,,,,,,,,,
