,601,602,700,701,702,142,143,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2013-11-20,310.77,314.09,403.67,276.66,316.86,1344.34,887.16,148.75146484375,75.77789306640625,1099.7900390625,104.95631408691406,82.18531799316406,31.18000030517578,120.12000274658203,40.220001220703125
2013-11-21,310.33,313.66,402.98,276.65,316.9,1344.85,882.82,149.95164489746094,76.5475845336914,1119.6199951171875,104.99082946777344,82.34440612792969,31.700000762939453,119.94000244140625,40.845001220703125
2013-11-22,,,,,,,,150.70175170898438,76.95990753173828,1124.9200439453125,105.06854248046875,82.63357543945312,31.790000915527344,119.91999816894531,40.63949966430664
2013-11-24,311.03,314.47,404.11,276.84,316.91,1352.96,887.02,,,,,,,,
2013-11-25,311.06,314.64,404.25,276.92,316.92,1350.13,884.38,150.55172729492188,77.1431655883789,1124.719970703125,105.1290283203125,82.77816009521484,31.690000534057617,120.45999908447266,40.37200164794922
2013-11-26,311.23,314.79,404.39,276.91,316.87,1346.72,879.51,150.59339904785156,77.54635620117188,1134.530029296875,105.21540069580078,82.94444274902344,31.719999313354492,119.81999969482422,40.2239990234375
2013-11-27,311.27,314.71,404.29,276.86,316.93,1351.96,875.62,150.96014404296875,78.08695220947266,1141.3299560546875,105.14627838134766,82.9588851928711,31.6299991607666,119.45999908447266,39.63199996948242
2013-11-28,311.48,314.88,404.53,276.77,316.98,1358.23,873.89,,,,,,,,
2013-11-29,,,,,,,,150.8601531982422,78.55426025390625,1142.8900146484375,105.14627838134766,82.89383697509766,31.760000228881836,120.69999694824219,39.759300231933594
2013-12-01,311.98,315.4,405.12,276.87,317.0,1377.79,882.42,,,,,,,,
2013-12-02,311.93,315.21,404.82,276.95,316.95,1372.33,879.42,150.46841430664062,78.3251953125,1129.1199951171875,104.91553497314453,82.50074005126953,31.770000457763672,117.58000183105469,39.959999084472656
2013-12-03,312.35,315.71,405.31,276.94,316.95,1364.73,872.78,149.8183135986328,78.26107025146484,1123.780029296875,105.01061248779297,82.7110824584961,32.04999923706055,117.95999908447266,41.09199905395508
2013-12-04,312.17,315.47,404.95,276.92,316.99,1363.86,863.21,149.8015899658203,78.33436584472656,1121.3800048828125,104.82041931152344,82.44273376464844,32.150001525878906,119.95999908447266,41.55009841918945
2013-12-05,311.86,315.04,404.3,276.96,316.93,1368.3,863.25,149.14312744140625,78.23356628417969,1122.469970703125,104.68213653564453,82.26139831542969,32.09000015258789,118.30000305175781,41.64799880981445
2013-12-06,,,,,,,,150.81011962890625,78.80167388916016,1131.3800048828125,104.63031005859375,82.43548583984375,32.220001220703125,118.55000305175781,41.72999954223633
2013-12-08,312.0,315.1,404.48,277.1,316.96,1371.18,869.76,,,,,,,,
