,170,603,601,690,637,704,701,714,XLK,XLV,XOP,QQQ,SHV,273011,695437,593038,LMB,AGM,TDS,MCD,FMY,EOI
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2014-01-22,1284.49,289.37,311.88,360.41,247.19,481.63,277.39,324.23,31.39434814453125,49.042449951171875,234.79286193847656,81.60741424560547,98.86363983154297,14580.0,4315.0,5534.0,,23.85486602783203,20.568378448486328,73.28215026855469,8.948359489440918,6.277031421661377
2014-01-23,1277.52,289.64,312.52,361.25,247.33,483.51,277.59,324.35,31.333120346069336,48.70069122314453,232.1651153564453,81.3316421508789,98.86363983154297,14370.0,4308.0,5516.0,,23.89961814880371,20.479711532592773,73.62202453613281,8.976640701293945,6.238729476928711
2014-01-24,,,,,,,,,30.729549407958984,47.5557861328125,226.8754425048828,79.73222351074219,98.86363983154297,,,,,23.51919174194336,20.213747024536133,72.93460083007812,9.02188777923584,6.138181209564209
2014-01-26,1260.33,289.37,312.61,361.49,247.38,484.03,277.6,323.38,,,,,,14050.0,4262.0,5468.0,,,,,,
2014-01-27,1273.53,289.22,312.43,361.35,247.28,483.64,277.58,323.24,30.440887451171875,47.171321868896484,222.5072021484375,78.96007537841797,98.86363983154297,14180.0,4325.0,5505.0,,23.414766311645508,20.058597564697266,72.65657043457031,9.050174713134766,6.0615763664245605
2014-01-28,1272.32,289.11,312.08,360.92,247.1,482.78,277.53,323.19,30.257184982299805,47.80357360839844,226.39764404296875,78.91410827636719,98.87263488769531,14150.0,4348.0,5543.0,,23.616167068481445,20.25807762145996,72.74153137207031,9.027544975280762,6.090303897857666
2014-01-29,1260.6,289.08,312.17,361.04,247.12,482.99,277.51,323.01,30.021011352539062,47.36783218383789,224.96435546875,78.06842041015625,98.87263488769531,13940.0,4302.0,5600.0,,23.0865535736084,19.74829864501953,71.94598388671875,8.982291221618652,6.051998615264893
2014-01-30,1257.57,289.04,312.18,361.2,247.05,483.4,277.48,322.58,30.38840103149414,48.230770111083984,225.8857879638672,79.5115966796875,98.87263488769531,13770.0,4299.0,5586.0,,23.265583038330078,19.918222427368164,72.44801330566406,8.970979690551758,6.133395671844482
2014-01-31,,,,,,,,,30.458377838134766,47.81212615966797,224.3842315673828,79.30017852783203,98.86363983154297,,,,,22.855316162109375,19.962554931640625,72.7337875366211,8.931389808654785,6.114245414733887
2014-02-02,1298.04,289.09,312.17,361.19,247.03,483.42,277.47,322.59,,,,,,13770.0,4251.0,5557.0,,,,,,
2014-02-03,1270.31,289.09,312.3,361.12,247.04,483.42,277.42,322.55,29.81981658935547,46.87228775024414,218.54849243164062,77.48015594482422,98.89054107666016,13800.0,4231.0,5528.0,,21.9005184173584,19.356727600097656,71.8455810546875,8.93422794342041,5.980177402496338
2014-02-04,1271.96,289.2,312.51,361.15,247.02,483.63,277.46,322.15,29.93352699279785,47.33365249633789,222.2000732421875,78.05003356933594,98.87263488769531,13700.0,4282.0,5475.0,,22.385379791259766,18.99471664428711,71.8996353149414,8.951289176940918,6.0280585289001465
2014-02-05,1278.0,289.37,312.66,361.23,247.01,483.81,277.5,322.71,29.95978355407715,47.06879806518555,219.50408935546875,77.84783935546875,98.86363983154297,14020.0,4302.0,5499.0,,22.37791633605957,18.440610885620117,72.27809143066406,8.945608139038086,6.023273468017578
2014-02-06,1295.3,289.26,312.43,360.91,246.98,483.0,277.42,322.72,30.292177200317383,47.33365249633789,222.47305297851562,78.84058380126953,98.88153839111328,13400.0,4299.0,5611.0,,22.4525146484375,18.551435470581055,73.32850646972656,8.951289176940918,6.085516452789307
2014-02-07,,,,,,,,,30.70330047607422,48.145328521728516,224.41830444335938,80.24695587158203,98.87263488769531,,,,,22.42267608642578,18.59575653076172,74.08544158935547,8.962665557861328,6.190850257873535
