,601,602,700,701,702,142,143,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL,TSLA,AAPL,AMZN,MSFT,GOOGL,META,NVDA
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2013-08-11,304.85,309.15,397.43,275.52,315.08,1202.75,830.99,,,,,,,,,,,,,,,
2013-08-12,304.86,309.04,397.49,275.43,315.09,1206.86,827.01,140.76112365722656,70.14368438720703,1053.6700439453125,104.94918823242188,82.46514892578125,32.720001220703125,129.1300048828125,42.77399826049805,9.825332641601562,14.58713150024414,14.834500312805176,27.391084671020508,22.159910202026367,38.220001220703125,3.3546957969665527
2013-08-13,304.67,308.82,397.26,275.41,315.02,1211.72,838.81,141.17726135253906,70.53707885742188,1051.989990234375,104.51549530029297,81.87871551513672,32.75,127.73999786376953,43.109500885009766,9.695332527160645,15.280345916748047,14.69849967956543,27.04701805114746,22.053302764892578,37.02000045776367,3.366368532180786
2013-08-14,304.43,308.53,396.84,275.51,315.02,1212.58,840.04,140.45314025878906,70.2717514038086,1047.800048828125,104.53286743164062,81.74118041992188,32.900001525878906,129.0,43.08100128173828,9.290666580200195,15.559065818786621,14.567000389099121,27.147720336914062,21.767017364501953,36.650001525878906,3.5087738037109375
2013-08-15,303.95,308.01,395.97,275.58,315.04,1204.89,835.3,138.48875427246094,69.08244323730469,1027.6099853515625,104.31603240966797,81.16202545166016,33.06999969482422,131.69000244140625,43.464900970458984,9.311332702636719,15.540644645690918,14.32349967956543,26.677772521972656,21.51301383972168,36.560001373291016,3.5321192741394043
2013-08-16,,,,,,,,138.0309600830078,69.05500030517578,1024.300048828125,104.12523651123047,80.75662231445312,33.25,132.5800018310547,43.68410110473633,9.466667175292969,15.67861270904541,14.241000175476074,26.686166763305664,21.444194793701172,37.08000183105469,3.5461254119873047
2013-08-18,303.48,307.39,395.07,275.71,315.07,1207.24,838.48,,,,,,,,,,,,,,,
2013-08-19,303.03,306.78,393.99,275.83,314.96,1208.84,839.03,137.1486053466797,68.93605041503906,1013.25,103.96905517578125,80.31498718261719,33.130001068115234,132.00999450683594,43.49850082397461,9.65999984741211,15.847468376159668,14.278499603271484,26.34209442138672,21.662912368774414,37.810001373291016,3.4900975227355957
2013-08-20,303.14,306.93,394.1,275.92,314.93,1207.81,836.82,137.8228759765625,69.23796844482422,1028.5699462890625,104.22058868408203,80.8072738647461,32.939998626708984,132.4499969482422,43.02000045776367,9.972000122070312,15.639283180236816,14.354499816894531,26.53510856628418,21.65715789794922,38.40999984741211,3.5076942443847656
2013-08-21,302.75,306.4,393.23,275.97,314.9,1203.22,839.62,136.9738311767578,69.00006103515625,1021.5800170898438,103.8476333618164,80.32221221923828,32.79999923706055,132.07000732421875,42.537200927734375,9.857333183288574,15.679542541503906,14.228500366210938,26.526721954345703,21.7550048828125,38.31999969482422,3.4912705421447754
2013-08-22,302.36,305.89,392.45,276.0,314.85,1201.28,838.02,138.22239685058594,69.67709350585938,1036.199951171875,103.66548156738281,80.6914291381836,32.849998474121094,132.80999755859375,42.885101318359375,10.473333358764648,15.698266983032227,14.486499786376953,27.181285858154297,21.864614486694336,38.54999923706055,3.5100412368774414
2013-08-23,,,,,,,,138.6885528564453,70.14368438720703,1038.239990234375,103.8823471069336,81.23440551757812,33.13999938964844,134.89999389648438,43.411598205566406,10.78933334350586,15.637718200683594,14.500499725341797,29.161771774291992,21.777027130126953,40.54999923706055,3.5100412368774414
2013-08-25,303.11,306.73,393.62,276.21,315.01,1198.56,841.31,,,,,,,,,,,,,,,
2013-08-26,302.98,306.77,393.85,276.16,315.01,1184.39,826.97,138.17239379882812,70.18026733398438,1038.469970703125,104.06448364257812,81.40086364746094,33.290000915527344,135.4499969482422,43.25510025024414,10.947999954223633,15.69858455657959,14.310500144958496,28.65825843811035,21.68143081665039,41.34000015258789,3.5170798301696777
2013-08-27,301.98,306.19,393.17,275.72,314.94,1156.19,813.58,135.95005798339844,68.74390411376953,1013.489990234375,104.31603240966797,81.74842834472656,33.709999084472656,136.75,44.391998291015625,11.133999824523926,15.249757766723633,14.046500205993652,27.91138458251953,21.2750244140625,39.63999938964844,3.4725003242492676
2013-08-28,301.44,305.7,392.5,275.55,314.91,1164.69,825.35,136.4328155517578,69.00923156738281,1016.5,104.10784912109375,81.76287841796875,34.04999923706055,136.7100067138672,44.53120040893555,11.096667289733887,15.321860313415527,14.079000473022461,27.709980010986328,21.2349853515625,40.54999923706055,3.4725003242492676
2013-08-29,301.76,305.85,393.08,275.57,314.93,1178.41,833.88,136.6492156982422,69.494140625,1026.93994140625,104.1598892211914,81.8425521850586,33.650001525878906,135.8699951171875,43.890098571777344,11.070667266845703,15.34682559967041,14.199000358581543,28.154739379882812,21.40715789794922,41.279998779296875,3.4654619693756104
2013-08-30,,,,,,,,136.2163848876953,69.04582214355469,1010.9000244140625,104.04712677001953,81.8425521850586,33.54999923706055,134.6199951171875,43.91999816894531,11.266667366027832,15.206999778747559,14.048999786376953,28.028873443603516,21.193693161010742,41.290000915527344,3.460768699645996
2013-09-01,302.57,306.45,393.92,275.5,314.98,1185.11,833.18,,,,,,,,,,,,,,,
2013-09-02,302.45,306.2,393.47,275.84,315.01,1190.1,839.09,,,,,,,,,,,,,,,
2013-09-03,301.96,305.58,392.54,275.79,315.0,1179.73,831.84,136.83233642578125,69.43923950195312,1016.260009765625,103.83015441894531,81.52007293701172,34.18000030517578,136.4199981689453,44.19599914550781,11.262666702270508,15.249444961547852,14.4399995803833,26.75330352783203,21.531030654907227,41.869998931884766,3.463115930557251
2013-09-04,,,,,,,,137.96437072753906,70.18026733398438,1025.5799560546875,103.55245971679688,81.22230529785156,33.650001525878906,134.66000366210938,43.75709915161133,11.374667167663574,15.564992904663086,14.682000160217285,26.182659149169922,21.812562942504883,41.779998779296875,3.4959633350372314
2013-09-05,,,,,,,,138.13912963867188,70.2992172241211,1028.68994140625,103.0924301147461,80.5540542602539,33.63999938964844,132.1999969482422,44.146400451660156,11.328666687011719,15.458252906799316,14.704999923706055,26.207826614379883,22.011011123657227,42.65999984741211,3.5053486824035645
