,TSLA,ADBE,JNJ,EOI,AAPL,AMZN,MSFT,GOOG,META,NVDA,AJG,BRO,BAC,CSL,593038,273011,442012,1081124
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,closingPrice
2013-09-12,10.995332717895508,47.63999938964844,67.86966705322266,5.722003936767578,14.733595848083496,14.942999839782715,27.375083923339844,22.243127822875977,44.75,3.6833624839782715,35.31033706665039,14.601731300354004,12.055960655212402,61.012271881103516,5345.0,13750.0,199.9,16440.0
2013-09-13,11.03600025177002,47.7599983215332,67.53419494628906,5.731392860412598,14.490779876708984,14.895999908447266,27.65979766845703,22.143749237060547,44.310001373291016,3.7068228721618652,34.92636489868164,14.484807968139648,12.064287185668945,60.827186584472656,,,,
2013-09-15,,,,,,,,,,,,,,,5469.0,14000.0,199.9,16680.0
2013-09-16,11.10533332824707,48.13999938964844,67.88493347167969,5.773637771606445,14.030097007751465,14.803000450134277,27.467205047607422,22.111122131347656,42.5099983215332,3.709169864654541,35.21434783935547,14.574748039245605,12.097591400146484,60.968196868896484,5508.0,13900.0,201.0,16700.0
2013-09-17,11.081999778747559,48.13999938964844,67.90778350830078,5.773637771606445,14.192178726196289,15.208499908447266,27.57606315612793,22.070026397705078,45.06999969482422,3.720900058746338,35.430335998535156,14.759124755859375,12.114243507385254,61.444183349609375,5620.0,13990.0,201.0,16800.0
2013-09-18,11.08133316040039,52.58000183105469,68.555908203125,5.8722124099731445,14.483929634094238,15.601499557495117,27.90265464782715,22.498668670654297,45.22999954223633,3.7537457942962646,35.71832275390625,14.876046180725098,12.247455596923828,61.25906753540039,,,,
2013-09-19,11.861332893371582,51.869998931884766,68.67790222167969,5.870322227478027,14.721441268920898,15.602999687194824,28.170635223388672,22.375879287719727,45.97999954223633,3.737323045730591,35.43833923339844,14.718656539916992,12.164196968078613,61.435386657714844,,,,
2013-09-20,12.22599983215332,52.310001373291016,68.38054656982422,5.8041510581970215,14.569015502929688,15.817000389099121,27.45882797241211,22.493438720703125,47.4900016784668,3.704477548599243,35.54233169555664,14.727643966674805,12.02265453338623,61.40011215209961,,,,
2013-09-22,,,,,,,,,,,,,,,5631.0,14500.0,201.0,17570.0
2013-09-23,12.074000358581543,51.79999923706055,67.93067169189453,5.789971828460693,15.293094635009766,15.57450008392334,27.416954040527344,22.079740524291992,47.189998626708984,3.6692867279052734,35.166351318359375,14.448835372924805,11.772879600524902,60.86243438720703,5662.0,14620.0,199.3,18370.0
2013-09-24,12.155332565307617,51.41999816894531,67.26728057861328,5.780518054962158,15.245088577270508,15.706500053405762,27.174110412597656,22.088207244873047,48.45000076293945,3.6833624839782715,35.43833923339844,14.466822624206543,11.731245994567871,60.81837844848633,5751.0,14590.0,199.3,18120.0
2013-09-25,12.349332809448242,51.869998931884766,66.39806365966797,5.756887912750244,15.009138107299805,15.632499694824219,27.224349975585938,21.848854064941406,49.459999084472656,3.6880550384521484,35.42232894897461,14.484807968139648,11.772879600524902,61.46181869506836,,,,
2013-09-26,12.576000213623047,52.099998474121094,66.39043426513672,5.76633882522583,15.155322074890137,15.906000137329102,27.44208526611328,21.87226676940918,50.38999938964844,3.6763241291046143,35.350337982177734,14.466822624206543,11.722925186157227,61.90251541137695,,,,
2013-09-27,12.726667404174805,52.029998779296875,66.13117980957031,5.76633882522583,15.047165870666504,15.80049991607666,27.860782623291016,21.82793426513672,51.2400016784668,3.6552088260650635,35.142356872558594,14.475812911987305,11.573055267333984,61.75267028808594,,,,
2013-09-29,,,,,,,,,,,,,,,5778.0,14470.0,201.7,19110.0
2013-09-30,12.891332626342773,51.939998626708984,66.10069274902344,5.700169563293457,14.86014461517334,15.631999969482422,27.86915397644043,21.815977096557617,50.22999954223633,3.650517463684082,34.918373107910156,14.435341835021973,11.489792823791504,61.95539093017578,5785.0,14520.0,201.7,19000.0
2013-10-01,12.866666793823242,52.43000030517578,66.69538879394531,5.775791168212891,15.209556579589844,16.047500610351562,28.120389938354492,22.092193603515625,50.41999816894531,3.6481709480285645,35.42232894897461,14.741135597229004,11.573055267333984,62.19337844848633,5795.0,14730.0,202.4,19000.0
2013-10-02,12.063332557678223,51.52000045776367,66.55816650390625,5.752161026000977,15.259429931640625,16.02549934387207,28.40509796142578,22.116851806640625,50.279998779296875,3.645824909210205,35.43833923339844,14.781612396240234,11.706270217895508,61.77030944824219,5674.0,14600.0,202.4,18810.0
2013-10-03,11.553999900817871,50.880001068115234,66.01681518554688,5.723796844482422,15.067733764648438,15.73799991607666,28.354856491088867,21.82046127319336,49.18000030517578,3.608288049697876,35.046348571777344,14.795099258422852,11.656316757202148,61.038719177246094,5671.0,14210.0,202.4,18410.0
2013-10-04,12.065333366394043,51.56999969482422,66.57344818115234,5.756887912750244,15.055888175964355,15.95199966430664,28.371610641479492,21.727310180664062,51.040000915527344,3.6575567722320557,35.278343200683594,14.790602684020996,11.697942733764648,61.39128494262695,,,,
2013-10-06,,,,,,,,,,,,,,,5685.0,14500.0,202.4,18770.0
2013-10-07,12.204667091369629,50.81999969482422,66.0244369506836,5.704895973205566,15.203014373779297,15.501500129699707,27.885915756225586,21.56267738342285,50.52000045776367,3.6575567722320557,35.046348571777344,14.597235679626465,11.498123168945312,60.827186584472656,5686.0,14540.0,204.0,18970.0
