,Portfolio_annual,Gini,Sharpe Ratio,601 Weight,602 Weight,700 Weight,701 Weight,702 Weight,142 Weight,143 Weight,SPY Weight,QQQ Weight,^RUT Weight,IEI Weight,LQD Weight,GSG Weight,GLD Weight,OIL Weight,TSLA Weight,AAPL Weight,AMZN Weight,MSFT Weight,GOOGL Weight,META Weight,NVDA Weight
24,8.489565027175129,7.745733934056136,1.0960310668364872,0.0015450855342154187,0.029723776182978848,0.12530274226865606,0.10696214220982107,0.08308144760689444,0.049145694373964016,0.005545824760603884,0.02288979851457242,0.01018330228890155,0.0023939730807161254,0.06800379120186656,0.09482530766989218,0.02026503185677132,0.08508572121176242,0.09159919195904684,0.046472842580753175,0.012453003899603491,0.031971665360377245,0.010546854531953042,0.021425631467477276,0.03903246471799965,0.04154470672117302
25,7.587893451022043,6.29123271294232,1.2061059886422947,0.08854333544076746,0.10176970591516643,0.0981181627464576,0.08848910516921185,0.085101956371438,0.03249295606065277,0.00687263273493078,0.016189021956677013,0.046289011943407295,0.001969169494721938,0.09315671243033534,0.06221970782291427,0.032142742413933084,0.04490985327754571,0.02951143590130664,0.008423509218427258,0.02899536174514273,6.493770944101263e-05,0.0005756597898748828,0.043231190656708336,0.036418660878656084,0.054515170322283306
26,6.868902960189094,6.464150570712469,1.0626149383509818,0.1003442773211982,0.10883350885278335,0.1031315782127683,0.06423718153797124,0.10757735468209928,0.008440587013371654,0.0024141922579670725,0.01303645474601283,0.01359153142721632,0.09727224763057184,0.02938234516473948,0.07133956801225647,0.014924910394261422,0.09675639085024641,0.004512345690474164,0.03521803550924827,0.027913819592895097,0.05650293287279312,0.014931937827483985,0.011533586695459418,0.01155942359874986,0.006545790109432183
27,8.088930198109034,7.7483693073195585,1.043952588897352,0.06810609812198579,0.03441080759230853,0.03394137172874469,0.11259874445280847,0.10727318136743288,0.041485119868908175,0.0015093061829652523,0.0006308213727050811,0.009995969672230693,0.029294551857959438,0.10503878434314978,0.05630943831199837,0.0635829338738677,0.07977799784495831,0.0550954472667751,0.06370884471197494,0.022242338899166367,0.06910112084199689,0.004520349456709085,0.0028902701390051857,0.011241071049280568,0.027245431043068792
28,7.1736676174864344,7.2475885657652785,0.9898006146998993,0.07834043386397153,0.12228435977620825,0.03826409408742936,0.09379428496667848,0.09106316573394997,0.01301916131918611,0.05124148119537464,0.05993013689666022,0.0038779581784631465,0.0023036580952890623,0.11983242525826561,0.016439264076059116,0.004841495810811964,0.02504393977112939,0.1240850049574775,0.03216103372186583,0.004926273570429035,0.017048036480231024,0.003386601314248962,0.03462220624507352,0.029909306123768797,0.0335856785574286
29,8.770211206917832,9.380758532373656,0.9349149300295087,0.09251764103257161,0.08975585135336943,0.050326689913416725,0.10070919470519604,0.022557512729591132,0.0019130358471026985,0.028510228822059787,0.0018115316890962437,0.01704406347464557,0.0036672400699073364,0.002238896130222567,0.07683235296672701,0.11022289507299513,0.09669870044546809,0.09969503792737078,0.07879300063766596,0.0015687375577511965,0.03212134756416868,0.001213026294912479,0.04378563770772562,0.00652306604699442,0.04149431201104157
30,5.15789184125639,6.539912610624779,0.7886790158138887,0.07880113204655644,0.08371726596561258,0.05399557472782599,0.06599823304505667,0.05709331748398793,0.048317162759095984,0.01613065247010818,0.03536929438096558,0.009322421004595398,0.006415040820664766,0.08730871865551315,0.08168657485487564,0.0710296103270003,0.08989624564833676,0.09018305166607533,0.00975242567377678,0.04721573470733364,0.02802863670566326,0.0035609906906994455,0.017312015713906316,0.016031340067101444,0.0028345605852481475
31,6.433109065945697,5.941391797294373,1.082761293216725,0.059958179226469954,0.05509988528630866,0.05275263510503775,0.11203959323995669,0.09779953578072728,0.05562128874493614,0.003390561448839915,0.0608256419956483,0.004434333924844431,0.001899005614743075,0.06633768972610467,0.10316309078885627,0.0034341485308726745,0.10083127991313356,0.0675178314461339,0.013195871271018785,0.048958748849995654,0.01565402560519565,0.043908434525668054,0.0012539295130015952,0.022330202110057647,0.009594087352449486
32,9.022674388027397,8.44094700756031,1.0689173122335742,0.09597375392776542,0.05687560617471609,0.07678027017619056,0.044909156254869485,0.08180436678443362,0.016284911191917297,0.03631251343188884,0.0067353403939720835,0.012549181682294184,0.011770905646113446,0.06896161930357673,0.023471691958139747,0.098379340054221,0.08685800575425728,0.06755676413908741,0.05072675295629468,0.02751349594794504,0.05512591958279219,0.025053566512425622,0.004149694561348655,0.001734920074861285,0.05047222349088946
33,8.198228097213022,7.356601759668742,1.1144042269840333,0.10878747856123326,0.06825365559584304,0.10317446138764479,0.041278026997196154,0.03240197381071924,0.011811560626255681,0.005016437633136797,0.030883937540724295,0.006384597105733363,0.016163629817443584,0.05449508404441008,0.1081268938361832,0.07827258994942052,0.09181603892030554,0.037690674849811395,0.03729059938617605,0.024933271614918172,0.015774229965171818,0.043908900504954496,0.031370551020448785,0.013921395156226667,0.03824401167604302
34,6.463650208514116,7.809615252686935,0.8276528355593786,0.06275419457719844,0.0942043593982996,0.06895405315298955,0.05772667203837834,0.01676024617695058,0.03475863835750412,0.0017884691107784264,0.00596260880256131,0.0335828284604717,0.031659325769660206,0.10975523025575376,0.07356925989854148,0.10906475965505807,0.058269225170227,0.06615722644999018,0.0017727054592446576,0.007305826657676264,0.04976933611248864,0.0009100245783301085,0.01838066002574297,0.07759923927869701,0.01929511061345757
35,7.555199898753373,8.080279336596208,0.9350171676040072,0.08045941614128647,0.07208871482358313,0.09837594697472248,0.011101119838519852,0.10356629932838213,0.006255806718887332,0.010109513674914576,0.01920451872533031,0.021545441308920013,0.08279603282706563,0.06096929079265319,0.032738116270234395,0.052522857282790825,0.08857996724712817,0.10216997826454707,0.00601225130778049,0.022243949941597205,0.008070174020663774,0.04363181097878036,0.003660556746260079,0.02268285144192708,0.05121538534402542
36,8.287034336699772,9.381568693961762,0.8833314136508468,0.018599099140472888,0.019286502740876406,0.09342129354440475,0.10577354327994044,0.03951414353103817,0.0203416729083759,0.00676884518448252,0.0049908394291979475,0.0070915213669294225,0.03726617250106108,0.10251396913344854,0.02282572382080625,0.08957480565408475,0.10800415740922653,0.10225947406136067,0.07625830291513008,0.013827086519182264,0.04624440684366895,0.018343461834270013,0.017188778099314034,0.0408039860627358,0.009102214019992522
