Symbol,sector,description,Market Cap,Volume
TFLO,US Bonds Indexes,iShares Treasury Floating Rate ,,
ZROZ,US Bonds Indexes,PIMCO 25  Year Zero Coupon U.S.,,
PLW,US Bonds Indexes,Invesco 1-30 Laddered Treasury ,,
GLD,US Commodity Indexes,SPDR Gold Trust,,
OIL,US Commodity Indexes,iPath Pure Beta Crude Oil ETN,,
GSG,US Commodity Indexes,iShares GSCI Commodity-Indexed ,,
1099456,Israel Stocks,ממשל שקלית 1026,,
1125400,Israel Stocks,ממשל שקלית 0142,,
1130848,Israel Stocks,ממשל שקלית 0324,,
9590431,Israel Stocks,גליל 5904,,
1128081,Israel Stocks,ממשל צמודה 0923,,
1120583,Israel Stocks,ממשל צמודה 0841,,
1097708,Israel Stocks,ממשל צמודה 0536,,
1097054,Israel Stocks,סילבר קסטל,,
1096106,Israel Stocks,אטראו שוקי הון,,
1084482,Israel Stocks,איביאי חיתום,,
175018,Israel Stocks,איביאי בית השק,,
1080613,Israel Stocks,אנליסט,,
1081843,Israel Stocks,מיטב השקעות,,
599019,Israel Stocks,פסגות קבוצה,,
1121763,Israel Stocks,מיטב השק אגח ג,,
1120161,Israel Stocks,ערך פיננסים,,
1082007,Israel Stocks,שוהם ביזנס,,
208017,Israel Stocks,נאוי,,
333013,Israel Stocks,פנינסולה,,
422014,Israel Stocks,אסאר אקורד,,
448019,Israel Stocks,גיבוי אחזקות,,
1094986,Israel Stocks,אופל בלאנס,,
1080605,Israel Stocks,יונט קרדיט,,
1128461,Israel Stocks,קדימהסטם,,
1121730,Israel Stocks,פלורי,,
1105055,Israel Stocks,אבוג'ן,,
485011,Israel Stocks,בונוס ביוגרופ,,
1094473,Israel Stocks,כן פייט ביופרמה,,
1094119,Israel Stocks,קמהדע,,
765016,Israel Stocks,פרפל ביוטק,,
1085208,Israel Stocks,קומפיוגן,,
1085497,Israel Stocks,אקס טי אל,,
1101518,Israel Stocks,ביוליין,,
1100718,Israel Stocks,בריינסוויי,,
1096049,Israel Stocks,ביו ויו,,
1101021,Israel Stocks,אנדימד,,
1101450,Israel Stocks,אולמד סולושנס,,
1083930,Israel Stocks,נקסט ג'ן,,
