,Portfolio_annual,Gini,Sharpe Ratio,601 Weight,602 Weight,700 Weight,701 Weight,702 Weight,TA35.TA Weight,TA90.TA Weight,SPY Weight,QQQ Weight,^RUT Weight,IEI Weight,LQD Weight
81,2.0277959388783184,2.4685540673118544,0.821450891325422,0.13519204354658673,0.05053109255543712,0.06304868501118607,0.1631931105287767,0.17605937174172928,0.08264046463302306,0.021383559410382124,0.039322766022117844,0.0005256554295370126,0.004149174961571291,0.10790662287971244,0.1560474532799402
82,2.4448915945628924,3.002009819650361,0.8144182535844086,0.1409168552924719,0.019077375549367136,0.1605255755282589,0.0014908530865399329,0.17491723111366037,0.00033985496721732885,0.003499892579909488,0.058409718749476223,0.013256647912010214,0.05585276331668683,0.19007411953098666,0.181639112373415
83,1.9053618580736398,2.383149660381694,0.7995141428794992,0.029436927175088924,0.1107969602300872,0.18062214486279238,0.14939995542190024,0.13081594101864077,0.06345376959164081,0.006199847907524586,0.02743311881931012,0.004216200566293805,0.012732154344581678,0.1024532984417282,0.1824396816204113
84,2.3729530178640434,2.5324323821465318,0.9370252230990227,0.15621903534679973,0.04648745986352229,0.08658853936956715,0.15907686792839573,0.14890907466522246,0.026705989603121236,0.05554352002268404,0.021266446180062553,0.02894666154549304,0.0037884549784997813,0.10889509809669741,0.15757285239993454
85,2.3971751241008032,2.5998370130166664,0.9220482330618454,0.19563002606302993,0.16759418089953035,0.08007444723005126,0.030794731206642917,0.14335980623800418,0.03467712013512224,0.017059024560971577,0.07437223914505184,0.001652403018311503,0.02101684986129516,0.13276066140316445,0.10100851023882455
86,3.074566534282819,2.913371881620134,1.0553292402111893,0.17247499291652785,0.07151545707725045,0.1828171267884612,0.04762263293472054,0.12296163001362535,0.011666516047932483,0.0023241813413116415,0.020890076974940695,0.10964538721219978,0.0015178139699959469,0.21085714919005744,0.04570703553297683
87,2.2628814006218967,2.586771574204285,0.874789804862449,0.16096571442187899,0.17829917590752842,0.11278290722007422,0.1622884039421837,0.048348414802967636,0.031307063893172664,0.023469401005147317,0.027012632252856834,0.008645100030668644,0.04437996633485862,0.06719068998252198,0.13531053020614098
88,1.936164356739023,2.389156108490098,0.8103967546778024,0.15579456906832553,0.09524630884656572,0.13955946237126746,0.13322250776966746,0.06914488967734411,0.021556475927594385,0.05471204985048775,0.004260241695880609,0.0004459147315791058,0.02496271142526402,0.17222986356903197,0.12886500506699186
89,2.3848143050299253,2.3053908248355284,1.034451199917508,0.10910458098663033,0.23351482345254868,0.033544658083544655,0.08968973823303478,0.24271021574718216,0.027993332151337067,0.027568657985941113,0.0001355504364101074,0.06561112837189345,0.02034717084328957,0.14176154361836113,0.00801860008982695
90,1.6297430638940291,1.3749398380335083,1.1853195454900414,0.19847283510972744,0.05962147383257152,0.011192297192306298,0.3505506045618785,0.2628909022713126,0.008897998005399978,0.03105517660014292,0.010104707639992867,0.027566637836754438,0.0018452407977424634,0.029759780932897065,0.008042345219274171
91,1.9908798159677055,2.180441375995043,0.9130627577910315,0.1414207894830996,0.20626038404738092,0.14457370773825037,0.1748433585519848,0.052796909332276966,0.020127984488184168,0.05124759454609221,0.027018538537327778,0.0011737048533897588,0.0039453360944957366,0.08906220689716159,0.08752948543035605
92,1.930604526719093,2.328705462870369,0.8290462480125865,0.11020593040483592,0.16558170678028697,0.11988827391224063,0.05941114315169738,0.14963142045319425,0.04204292808800539,0.023938315439632245,0.024744825767304256,0.0006132913832327084,0.021590179266589907,0.15806022138698536,0.12429176396599495
93,1.8553205121486505,2.3167469055297847,0.8008300378950471,0.15529677149065008,0.12417072562128548,0.14595834730330623,0.11947316624227755,0.1264245191780497,0.05844990150539349,0.031032655920648296,0.010928595978025103,0.001967866941715769,0.0014406298943898943,0.07857772526597835,0.14627909465828004
94,2.496366772081715,2.658715007010542,0.9389373308155464,0.14458084390835008,0.15727291652116396,0.18184469307003098,0.02665134111025505,0.0643191419593622,0.02926155585334814,0.006520155183924404,0.03651060893970762,0.03982411784551093,0.010803881946576523,0.18485602697247175,0.11755471668929829
95,2.1785382255155916,2.284616773584386,0.9535683405220011,0.12816315372382323,0.1420542306026326,0.15343759182238143,0.07883229974079911,0.15977745935506585,0.01954352088055509,0.03533778538256363,0.0013414449313122368,0.03402213982519215,0.03268195842069767,0.15931105279950283,0.05549736251547411
96,1.979883547595751,2.4636951010839017,0.8036236085888641,0.07888997549558464,0.15664050020896145,0.08992535994831832,0.12739143298098352,0.09605686447336063,0.004920397370668638,0.0478679894792591,0.022742427703012637,5.757842399163237e-05,0.019523437696990515,0.1727844464710331,0.18319958974783576
97,2.7133732634434526,2.608433815390301,1.0402308264192817,0.08172464854547559,0.054171729836469174,0.15906097476119438,0.1630676456467143,0.13149659599739186,0.025251978863536646,0.018093337821112068,0.018769297265125114,0.07997943377610145,0.000830543114053598,0.16432591466203975,0.1032278997107862
98,2.041695580545122,2.6023151621395026,0.7845689139614184,0.17371767706678728,0.03236210663091393,0.1449509195513119,0.0741292899318383,0.10083266967739891,0.015150271874776033,0.0077686836613404696,0.018086739247177488,0.014667118647908513,0.027460565865932395,0.18226725092718923,0.20860670691742558
99,2.6343827959500965,2.657069541144964,0.9914617420268604,0.11482163479414631,0.08297555551748152,0.14536151600312536,0.1078270974045115,0.21153408145703576,0.0034028336270936245,0.01912032075874207,0.006577298584702341,0.07461198499421914,0.040018069268168456,0.13657278454420832,0.057176823046565635
100,1.9931988827847746,2.3201103620237395,0.8590965823911009,0.16681996449673264,0.10800333725690772,0.004222542632634739,0.16883980102916757,0.16316953287399785,0.04362673566924287,0.04738123412475966,0.01524951080460749,0.004023392572438577,0.03902963184218054,0.18064281677383592,0.058991499923494506
101,2.1514835736415217,2.7808121489431814,0.7736889291350265,0.0881708157994954,0.12617058578077314,0.10049957174020482,0.16094134222707115,0.10168132176575773,0.020043360507050013,0.0020692245171655263,0.0031642331622268533,0.019885076133362687,0.0809005243606508,0.12760600003319447,0.16886794397304744
102,2.1723348275074494,2.4446698805422176,0.8886004792702868,0.1598943656969781,0.05511667742709491,0.012157568729500452,0.11867270586832278,0.19841348548001644,0.03332324846074655,0.05231742478202511,0.005145425089985085,0.028493153967170493,0.013414489986616188,0.19461926866509316,0.12843218584645086
