,Returns,Volatility,Sharpe Ratio,NVDA Weight,MRNA Weight,BYND Weight,TSLA Weight,TEVA Weight,SNOW Weight,ABNB Weight,BABA Weight,1090943 Weight,1106376 Weight,168013 Weight
1432,30.673018330743655,36.48908939337478,0.8406079417348481,0.12948495213140096,0.036545701015562454,0.13020180941554996,0.0036409670811827144,0.04498375588004779,0.19531102973015954,0.07865125668597336,0.03596011540583685,0.15848685685194056,0.07912107047285206,0.10761248532949369
1433,54.07389777962561,47.12654826239645,1.1474190190749158,0.1043914880977108,0.08777876937397987,0.007408339959003339,0.17867624499544402,0.12984106357557426,0.1449102718815618,0.04239555541266396,0.024651372929974574,0.008785408465716162,0.13597205253975475,0.13518943276861653
1434,43.90520105087073,44.44449721174757,0.9878658507867135,0.053039263343028574,0.12301614402712416,0.186870518113344,0.08107237617681848,0.07816760250992592,0.04802193937348876,0.080568940067434,0.0056018861760468806,0.00287313616612597,0.11907450528077483,0.2216936887658884
1435,37.16185560828946,32.187834826364124,1.1545310769971784,0.1449617807899133,0.17827167996530313,0.03288812978017421,0.10003343400187344,0.09951778978390204,0.028879413749481928,0.21160425572824154,0.11700304542180436,0.053876810798393605,0.03268767080954096,0.00027598917137113097
1436,38.49344661764432,41.59637222128932,0.9254039369794631,0.05556812377704917,0.046058204589972035,0.05049352428516225,0.05038639965481731,0.08199346884164348,0.10409387056420562,0.19230993800288113,0.14214731706213837,0.010599574296215464,0.11155002424509736,0.15479955468081774
1437,44.17234961787086,35.7816486791657,1.234497326099754,0.10915339611338075,0.13309330376286557,0.042124972431957376,0.11279826181461425,0.0047744690667230975,0.024513177419230002,0.1480046655137882,0.09629376185430907,0.16535785790156723,0.08720330174139553,0.076682832380169
1438,47.69615423357251,45.679077835048005,1.0441575551461082,0.09089262009726662,0.12140151056344209,0.08737357242568197,0.027431422671618598,0.12131275776963397,0.07699208066743368,0.1045925377726843,0.03150609630957615,0.1476524952178896,0.13281615755373452,0.05802874895103841
1439,36.46099264420004,37.958161287379646,0.9605573981351573,0.1640228358959314,0.033132785269601076,0.1286502629268459,0.055941491036957475,0.03362317954217673,0.16533114169627725,0.07766653614855107,0.028659456901663667,0.10500021828126087,0.08539439146595874,0.12257770083477591
1440,33.299605383429636,30.35709142915052,1.0969300356441118,0.06419141158601192,0.11837066980887392,0.06344699261817127,0.08111721497274745,0.08624091709558904,0.014773045794240481,0.10380037896323745,0.1183469431590203,0.16088369843875727,0.06687971289628601,0.12194901466706483
1441,45.8493881282583,41.83613937629335,1.095927798592216,0.04924920613671834,0.15975737252548167,0.08861193952244754,0.07686371288758374,0.016164932444058158,0.09068863702248235,0.1003216187594357,0.07105338389367392,0.09196274844745071,0.11220535037810084,0.14312109798256706
1442,29.769163234295544,34.73522261226957,0.857031019106817,0.045463474371569064,0.15398230651683262,0.16566606137994172,0.07748466028525615,0.011808935539247148,0.12576784484311496,0.1164306953352827,0.0973823107129925,0.13958301975644774,0.04401497921195929,0.022415712047356023
1443,27.503212082770112,29.11475971712173,0.9446484308986447,0.05162216563624846,0.11612491549751072,0.036410054773371066,0.042174577236606586,0.12482464077652314,0.07716540466821548,0.14533705756611356,0.14535116006052984,0.08883464058208622,0.049715221695417616,0.1224401615073774
1444,58.56845651987539,54.849489494809454,1.0678031292418477,0.14889891833856117,0.007151543619247178,0.11740087517091582,0.1926196551589936,0.029483034488608357,0.03731920434652724,0.1567781835106854,0.008343093747874952,0.032893640829954614,0.16204255559314368,0.10706929519548801
1445,14.954443138266637,26.67188829795326,0.5606818299180643,0.021574226540566815,0.05327153586920972,0.059128064083557,0.08604378665708125,0.18821565857012282,0.1863188175849337,0.040224241873754944,0.04348897607740667,0.1972012817150875,0.021629283171458995,0.10290412785682053
1446,19.3968122857619,25.77496321282394,0.7525447126966727,0.09490412979509691,0.14064159859588182,0.036269949121526486,0.005041862906972978,0.2050469970257865,0.05663126607800184,0.1682643498567726,0.030507391485133647,0.15420013063683177,0.008360642498454801,0.10013168199954069
1447,38.03012790906087,43.709955741998776,0.8700564268135274,0.06631349444986023,0.06461483541453654,0.14468547703158924,0.017403859377116738,0.1909055753111809,0.11214616872309847,0.10611590102134724,0.025139486247700252,0.03667406929838439,0.11794306518186173,0.1180580679433242
1448,34.82435402875931,40.15798477115264,0.8671838048450895,0.052635588519010436,0.04051575871111621,0.12238948408814479,0.026668871661583562,0.14173847737609738,0.021006151524739086,0.13815558719021306,0.15525665121607587,0.06416926261329638,0.10871147298595377,0.12875269411376938
1449,47.92213483937036,47.224688260029104,1.0147686857243179,0.16078311708815934,0.07215985021198926,0.13740937879116075,0.014679140198375374,0.011062915498860555,0.13117233048819046,0.09798328272208645,0.11973547570740022,0.03875471224666372,0.12766395413256404,0.0885958429145498
1450,38.052694564099696,36.050095792169095,1.0555504424586193,0.10107744639326037,0.09100753560879507,0.06897375329859307,0.1364052190890044,0.10102486743121286,0.0946955823630809,0.1571680098390154,0.12469670962992385,0.004769522680346358,0.06827665010774601,0.051904703559021576
1451,49.43643989746647,47.190105101939054,1.0476018180225481,0.006917281485156275,0.10467592452018604,0.0009630672336922837,0.18861653576649012,0.1529432234818683,0.17788281481789306,0.11013575639525304,0.07480928869533701,0.047904586024116326,0.12873141422374756,0.006420107356260067
1452,35.97671073867396,32.62832864925693,1.102621930942616,0.1176612077701543,0.06474336165633628,0.05416490228777646,0.12234249681519348,0.13832066509998167,0.04362771549617987,0.10019301923425995,0.13717027388556538,0.05935779635515216,0.07007624650599605,0.09234231489340441
1453,33.61980430000361,32.652386107195575,1.0296277947232422,0.07513687191770509,0.15128273849969448,0.08594453334036174,0.0642117410565591,0.06947281343497487,0.0874377004611928,0.14207006813694562,0.10111038356138942,0.12046298067412896,0.055354509672079354,0.04751565924496863
1454,32.049295331509825,28.406128820859735,1.1282528335214326,0.13165440552933969,0.17018046540773202,0.08845728101541309,0.059975729851040493,0.15854481050881242,0.028107161742029735,0.048816604265529036,0.08006343287067437,0.09325656165046534,0.03655635521428999,0.10438719194467379
1455,29.64794563207584,31.707650606436804,0.9350407572000041,0.135123218477294,0.015181709107487569,0.03481194378298196,0.09212582752629832,0.20270184427620988,0.02126565440614546,0.1943800755237054,0.16713527802989855,0.027336251906626346,0.054525793212235496,0.05541240375111693
