,Portfolio Annual,Gini,Sharpe Ratio,TSLA Weight,ADBE Weight,JNJ Weight,EOI Weight,AAPL Weight,AMZN Weight,MSFT Weight,GOOG Weight,META Weight,NVDA Weight,AJG Weight,BRO Weight,CSL Weight,593038 Weight,273011 Weight,442012 Weight,1081124 Weight
80,20.152594926049527,13.337713022009472,1.5109483082140358,0.0566105654201653,0.0105180408906707,0.0393022223310332,0.1318305233035892,0.094389105386356,0.080739383924256,0.0227093532603506,0.068798627827674,0.0092758187363446,0.0056323357875512,0.0076574122880632,0.0752938524361464,0.0705968299336491,0.0756340165498774,0.0727231388140869,0.1222631702142268,0.0560256028959587
81,24.47624216247504,14.50499011020633,1.6874359773091128,0.0760583317632497,0.0537829574640372,0.0434288399429068,0.0403680454604422,0.0583300048873738,0.0322403159959566,0.0644613495167801,0.0119132513655427,0.0201918092134438,0.0865140683179819,0.0408283587714344,0.0878642763163929,0.0309854525922494,0.0783908820128221,0.0978422479585299,0.0933414659654754,0.0834583424553804
82,23.48938134418777,15.841729179068183,1.4827536235895569,0.0912033165501127,0.0642011877258837,0.0282298483143473,0.0138385199693057,0.0415202596372433,0.0647038241442578,0.0712031928151805,0.0769418459921813,0.0706155138056205,0.0303513994002581,0.1004473430412048,0.0455842192779999,0.0843767345389767,0.0726221058526891,0.0218497627848273,0.0272459567521548,0.0950649693977557
83,21.98417121405494,14.277352874599451,1.5397932240763292,0.0195324857657188,0.03961132576105,0.0010734682345287,0.033165112988969,0.0666607056940106,0.134872592677092,0.1324227920655112,0.0114493531017396,0.0551366526803866,0.0046907984999051,0.0647788988068038,0.1210667904263926,0.0076002519354916,0.0430511115112966,0.0811626358751654,0.1024627417201573,0.0812622822557803
84,24.03209544699001,15.719815804092867,1.5287771654889828,0.0867212101028536,0.0455283467264905,0.0258021417057413,0.0810515005883294,0.0965988324972234,0.0877157994126912,0.0574454999473844,0.0555852595442378,0.0416992124785691,0.033318131355752,0.0743520783986454,0.0548069524633008,0.0513771356771027,0.0062411631782063,0.0508086505321437,0.0929577295718519,0.0579903558194756
85,24.43571642161104,16.24683522073641,1.504029313378083,0.0825676632351685,0.0414509868363396,0.0537503930928711,0.0278186616451937,0.0880231187518306,0.0565626668860388,0.0002598015401002,0.0739708762437034,0.1107485635677762,0.0731871120696608,0.0202263444775746,0.0133781180586199,0.1073595073731361,0.0829299453488728,0.0434405270677476,0.0541210164887549,0.0702046973166105
86,21.415931087502702,13.406627029437692,1.597413804417661,0.0331276641859877,0.0074922099423763,0.0988761986532058,0.0165115518674082,0.0893170049291778,0.0487192486824281,0.0790341104450739,0.0945267092042323,0.0299191656942833,0.0335386095598392,0.0756115180052275,0.0670697466311141,0.0537538788755152,0.0521201567872562,0.038267927279473,0.1027301107923426,0.0793841884650582
87,21.527374438831725,15.25819933766061,1.4108725389173151,0.0340144783236338,0.1046395875597424,0.0457903548443256,0.1183505219340188,0.0708985857244621,0.1425835992029606,0.0678332542831701,0.0026494498916029,0.0331162973225091,0.0260762569414183,0.0553955087197095,0.0882674116018234,0.0073717256289167,0.1001210908746715,0.0540535930421224,0.0151604458444477,0.0336778382604645
88,25.29307865641128,16.41480563919999,1.5408698227902984,0.0992659586830274,0.0700903496316743,0.0623377895808442,0.0282348458570003,0.075396654900594,0.0828274463251441,0.0216650127409749,0.0810888762720932,0.0458697271450753,0.0645254855940656,0.0678449274499956,0.0912615776432213,0.0004231189985142,0.0402856331595315,0.0700379121271566,0.0791686787739811,0.0196760051171056
89,23.34933735054023,16.17802649135567,1.4432747630260323,0.117220560944371,0.1107165172220532,0.0513936230375062,0.0810578020244105,0.1131652856987593,0.0379756366985515,0.0429130769231119,0.0604701174052467,0.0271314110191103,0.0196067329052008,0.0181708601926856,0.0453187501851129,0.0422593164567816,0.0590788961227716,0.0375146556350583,0.0219892696242951,0.1140174879049728
90,25.5882247892113,16.300194289031985,1.5698110301929966,0.0488028454163204,0.0812023539207758,0.0180130061389654,0.021026552713379,0.0452109956692264,0.0995322711517862,0.0685970901465395,0.0508163494189429,0.0835410488096217,0.0882335271717692,0.0622963638121557,0.024456955417124,0.0556346861446087,0.083023606100322,0.0247163425270781,0.1010725496523933,0.0438234557889911
91,24.67293269730773,15.53700111905522,1.588011258301824,0.0400399150389681,0.1210905403043231,0.0713173987854435,0.1038689849186777,0.0041877275906342,0.0256835692669734,0.0270631276634981,0.1112969528905674,0.0034150533738278,0.1176599759046947,0.0402413001249139,0.1173739365430324,0.0166922585356277,0.0050957361901342,0.0417171986418447,0.1139920433728982,0.0392642808539402
92,23.302600033598274,16.05349027046535,1.4515597319337827,0.0696545765152687,0.1221263959052661,0.0183076474113883,0.1269575926945119,0.0295168354171916,0.1167562633629023,0.0090280497088117,0.0119902700751628,0.0621981215533318,0.0472868887722632,0.0116948079390142,0.1212540521468081,0.0549521965468619,0.0107331318247105,0.0129945601622489,0.0442133473335583,0.130335262630699
93,23.350380160309925,14.997898402517912,1.5569101439165478,0.0406867109375182,0.0478854867648416,0.0758688875327668,0.053820981323401,0.071316919099542,0.032553736729623,0.0158188892896994,0.0298223707416096,0.0987110721087039,0.0976586508616714,0.0651999052400309,0.0771922341909796,0.0163268295812325,0.1019267890218555,0.0809507038957519,0.0154125781567691,0.0788472545240027
94,21.12301276547783,14.356621615588748,1.4713080368811828,0.0309560451157764,0.0952936739087645,0.1030311741891483,0.0417604474842943,0.0745753730974488,0.0469338079490376,0.0824156204362216,0.0927515317600167,0.0620789842638626,0.00087210753657,0.0844775231901121,0.0222172392753897,0.0616938552322056,0.0121497215862439,0.0243187334321248,0.0943056844531984,0.070168477089584
95,22.02168974421981,15.064339663522242,1.4618423532725129,0.0708243643754054,0.0756331742208277,0.110412546274275,0.1207629749249242,0.0732348599059673,0.0026498428407978,0.054780639430357,0.1039650602308665,0.0572236278195701,0.0407981753900755,0.0776608620585913,0.0064205580588798,0.0279377376932561,0.0351672522171498,0.0235778884440611,0.0445353821817862,0.0744150539332084
96,23.83412038450874,14.581130816320428,1.634586554688309,0.0819946688956405,0.0546390408558612,0.0314030320102929,0.0059143607257435,0.013459521480734,0.0748275924339787,0.0881658487748048,0.0002260677955942,0.0637467974801572,0.049824089475631,0.1121181951094629,0.0273109190054428,0.0396481069194513,0.1096324688197421,0.0728191299849529,0.0905625711275147,0.0837075891049947
