,601,602,700,701,702,TA35.TA,TA90.TA,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL
2020-07-20 03:00:00,,,,,,1575.870568964779,2066.1328055440113,,,,,,,,
2020-07-21 03:00:00,,,,,,1561.6053948517008,2126.4796308708396,,,,,,,,
2020-07-22 03:00:00,,,,,,1526.6728769346553,2132.8675229178925,,,,,,,,21.67387250466108
2020-07-23 03:00:00,,,,,,1619.0723545894245,2118.122772668843,,,,,,,,22.16549659872083
2020-07-24 03:00:00,,,,,,1506.0399576940542,2112.5815186164195,457.64790480919805,444.60235195324975,1858.275746561982,121.85464872762402,116.52816961559928,16.6857182100649,206.56303458041276,21.707188946586857
2020-07-25 03:00:00,,,,,,1565.676163837535,2113.270796575444,461.0317840040416,442.31889945681166,1875.1010757632228,121.2396995961084,114.24257798365726,17.086149977991973,211.92243764441952,22.107555599226735
2020-07-26 03:00:00,,,,,,1519.134475429889,2139.9081124554186,458.8610356532198,433.656915796831,1843.7816907846666,121.65677306496642,118.77705588013356,16.515170846530687,202.650144182326,21.742144281154687
2020-07-27 03:00:00,,,,,,1533.9023498288038,2159.8126674103237,467.3512346417363,437.48744387317254,1943.427067055906,121.41838568774352,113.44160539141214,16.607761145100127,200.23409201469545,21.71786776594483
2020-07-28 03:00:00,,,,,,1535.968579215521,2139.13500787454,469.8012361108924,445.91498264148345,1909.4753416017898,121.83844406396128,116.90284238411974,17.549061479006188,204.42854848558508,21.71786776594483
2020-07-29 03:00:00,,,,,,1501.2403290423538,2165.623495464084,475.29585817807833,462.8664121955251,1960.1416873899693,121.14950343833134,117.33637168448192,16.742946389246832,209.42206295861408,21.71786776594483
2020-07-30 03:00:00,383.68737561150954,380.16597290638975,500.88188825796504,286.7188168239508,327.60327280396547,1536.4418135655792,2170.0193224663794,466.579327659878,458.34872424850016,1927.9963213992746,121.20066292261895,116.77095955594253,17.296246537987738,206.9625114271313,21.71786776594483
2020-07-31 03:00:00,383.80909126123504,380.07191607801406,500.9055797932036,286.66287873662174,327.55648756033884,1559.9941748034532,2251.5049216297184,469.55701974883044,454.28896600502753,1907.558565240623,121.47942952136364,117.35853821035123,17.41048107796515,198.09999165944564,21.71786776594483
2020-08-01 03:00:00,383.79241364183645,379.9901149656429,500.7622607977365,286.61550591782833,327.54420723286984,1504.8738455160535,2144.102467444538,469.2576069356934,454.40568851449916,1976.688874535729,121.71238954427712,118.32067209095305,17.34847315761567,216.23136099726833,21.71786776594483
2020-08-02 03:00:00,384.11019476144463,380.1228967752551,500.8162202560173,286.64856767556745,327.5670891022235,1503.4605647618905,2231.237286404406,479.8720973335245,459.39871647815005,1928.363697053623,121.26813725065988,116.43835000728046,16.85029700853378,218.34161272723983,21.71786776594483
2020-08-03 03:00:00,384.40782649213054,380.2209425513546,500.89795096069287,286.6510380391292,327.5622315885011,1514.4955900988573,2205.630490366502,477.4484372464923,464.69183592306894,2012.2602317743385,121.08249004283567,115.21415050420067,17.016933833224165,204.95640650958373,21.71786776594483
2020-08-04 03:00:00,384.46094473181137,380.2089779804927,500.9150746396102,286.59897503895877,327.57834104639574,1575.215342497705,2291.1063692248044,480.24415494671314,455.76262708287675,2001.6229384206554,121.23982405708747,114.82032941500546,16.60481821107148,205.62940215913397,21.71786776594483
2020-08-05 03:00:00,384.4084603732559,380.1593586344781,500.8302613671395,286.65834053734284,327.5710552197315,1583.6941676467507,2326.131516082839,486.2615526041562,451.93912784024036,2047.9825891936161,121.09326065930236,118.26784397776436,17.322171571950935,200.78522153234414,21.71786776594483
2020-08-06 03:00:00,384.66956930092033,380.1837688988965,500.85947444193704,286.636535918294,327.59253360922077,1558.2098721371658,2301.8793938077065,482.6835903059713,461.60981450923583,1990.1277273132093,121.30920022716775,117.32160852671112,16.70619876343914,191.46642867170183,21.71786776594483
2020-08-07 03:00:00,384.80363240410117,380.18113294623134,500.7769196230165,286.634209784542,327.56671215676926,1571.0024523352724,2352.864722614225,480.7739386723921,461.24739229418253,1955.2424579651533,120.91671219465589,118.98054426948683,16.423573664221102,196.6807282422982,21.71786776594483
2020-08-08 03:00:00,384.98892133050225,380.2871116603408,500.72953307927014,286.7637343240694,327.57399643014156,1553.4488781232403,2341.1579313779107,478.39118879448534,461.0287160259162,1952.629070989886,121.69333906422743,116.47749498742587,16.49796612188802,197.76209828018358,21.71786776594483
2020-08-09 03:00:00,385.2305172024648,380.3867564129936,500.8207862957376,286.70390402325853,327.56325738332947,1595.465485149583,2320.825585414627,479.24776064536513,460.11220557580003,1950.5690334383562,121.31933523656026,116.86386315704378,16.70523995856226,205.17797346184992,21.71786776594483
2020-08-10 03:00:00,385.4990264727454,380.4377871440477,500.7726122841389,286.6324499869447,327.5734836806645,1588.041660414297,2304.07163752133,483.7957102897658,463.8607879380945,1966.148914947552,121.53456806673405,117.3607040841878,16.64847147927858,195.39855178377871,21.71786776594483
2020-08-11 03:00:00,385.5644868469132,380.42088184903986,500.7620233439403,286.6714373180955,327.5710552197315,1525.0489301516966,2267.2599422148505,483.16130743427857,467.09175524462046,1954.9237778562951,121.35997167627939,116.98774087740885,16.49200077672297,178.58765902384175,21.71786776594483
2020-08-12 03:00:00,385.51438247625936,380.38520343813695,500.6985968510376,286.7841419618039,327.5549464276145,1561.9910467575744,2357.1554649488903,486.61343218231696,466.7889754206068,1942.9981827622155,121.91304869788138,118.464765138085,16.931487293104556,199.86411080121854,21.71786776594483
