,Portfolio Annual,Gini,Sharpe Ratio,TSLA Weight,ADBE Weight,JNJ Weight,EOI Weight,AAPL Weight,AMZN Weight,MSFT Weight,GOOG Weight,META Weight,NVDA Weight,AJG Weight,BRO Weight,BAC Weight,CSL Weight,593038 Weight,273011 Weight,442012 Weight,1081124 Weight
942,17.9253729744139,13.372639053249442,1.340451417482788,0.019837923592925386,0.019532219146934576,0.06218215502387657,0.04856191785850822,0.029333654172914475,0.007226928300302961,0.05806215660589811,0.06654162361044645,0.11822563594964171,0.033507314310197295,0.07421277108629867,0.10944055747662702,0.06407218714170598,0.01834553048866259,0.10511605429075718,0.05051740538795205,0.051083516970897865,0.06420044858545282
943,18.657298715609993,13.706679185922393,1.361183001552425,0.02843633981394785,0.04981844144361903,0.024288043522463058,0.021196390954766626,0.09379254584490619,0.06028312112376731,0.07113823339946725,0.0849093417923804,0.04510021495832831,0.0018683447667644578,0.05466839214386311,0.05265253324032063,0.08486475906342895,0.028259252367163493,0.08045682707862051,0.05951081381865429,0.07760406993684899,0.08115233473068949
944,20.102542914834707,13.597879191337519,1.4783586934380886,0.07994298880006123,0.021703248451703572,0.08080109453040625,0.027993594161254604,0.010619361155251387,0.017485049080579646,0.040325319484442686,0.08858572964845354,0.059585507193591965,0.050796404911743885,0.015801126252202497,0.07312957985457946,0.03208695016249857,0.038110948143035936,0.09977577041230204,0.09605713956939596,0.08806614983288406,0.07913403835561268
945,20.07479731839712,13.694536053358691,1.465898314494095,0.021813224125384223,0.024760187349004415,0.08642194578054506,0.0019526087455872534,0.01692826827790193,0.0868255578980254,0.02955333345030874,0.0867745370127324,0.02812375065714993,0.07285762905627939,0.020570652834588143,0.09696142737601603,0.06087472212457196,0.08687398939127279,0.04076378130154159,0.07258294420211274,0.08570533586015043,0.07965610455682767
946,20.46860157664423,14.734189786763125,1.3891908461117268,0.08135016755098526,0.10512627612709131,0.13551827035126557,0.016092804952798145,0.09339305053481549,0.006864322353900517,0.055056794928606344,0.05267910512732312,0.056825489910808324,0.04488923888196966,0.04675805741591329,0.04071389482405156,0.011547745631975297,0.015312702814877854,0.1316263864681995,0.0030706892628149522,0.033432696312545994,0.06974230655005782
947,20.00884396060323,14.304402537890311,1.3987892124541845,0.009845309492850517,0.07434642325033279,0.030051982215120985,0.06697360083019681,0.05634253760340768,0.06773258854541106,0.006717434713731367,0.04288712567367474,0.0519696082438572,0.07661341136233998,0.05875627688373578,0.0701313202190737,0.06800871173636776,0.06647331660877719,0.059474424788284755,0.07056765520752023,0.044250735260999575,0.07885753736431793
948,21.911279281705575,14.958738714145275,1.4647812025077918,0.0389668005632306,0.12646410286775722,0.03137838190935418,0.05292380412262762,0.023895829637210764,0.040673689915382255,0.12427327971184855,0.02762901185194867,0.022106423718766782,0.07462286198308872,0.02239531450618625,0.03737408787919568,0.04912267856173688,0.0035672623847654954,0.09177939731045516,0.12142037488195745,0.07390921829482335,0.037497479899664385
949,20.478578881714206,14.063620809967809,1.45613844104782,0.053985245452393485,0.0920172287815437,0.06880008289825183,0.0667189382637668,0.024386712085236167,0.07921292761804925,0.016372210498380214,0.020533684669458405,0.06884888802971101,0.05209858824333863,0.07150282110881888,0.05811354968139513,0.0276935494868133,0.006702964714227373,0.08040204890033918,0.05851366776196922,0.08859307366521031,0.06550381814109713
950,19.098694574434273,14.412913571669264,1.3251099078243007,0.03499122375302562,0.07442893384850796,0.044166752232454844,0.08067854393349143,0.053333972972107305,0.031796936448595096,0.07379336893906704,0.07634555234099054,0.062106607989893106,0.03524586450137886,0.046937976410018435,0.09018623158376309,0.029816335339581196,0.013308509888027823,0.10917755571038514,0.09918362271349945,0.009468900791405766,0.03503311060380725
951,22.239986983509,16.97227695304328,1.3103714395563861,0.07480546540759087,0.11340993630024893,0.06675692528449137,0.023535993240389654,0.051784333458204226,0.07709296884738918,0.0456615257710585,0.04364964755989659,0.021193443674613156,0.08306609940341904,0.04769869149528148,0.08569626540869223,0.11284265747898037,0.08795193128593812,0.009285157843927111,0.005797362559918539,0.011247004743032528,0.038524590236928176
952,21.474816057833635,15.445596649955737,1.3903519912191398,0.05233932857380888,0.05620217509796945,0.04191463448252326,0.03921970611817721,0.06335352650023929,0.01735575742185096,0.09220315072681144,0.05407805735960379,0.058713949131266145,0.08102681478730908,0.00027599266048800497,0.11747635588988053,0.020046590181095888,0.10898418026334135,0.09450489786463735,0.05653977297416496,0.004988159197684012,0.04077695076914853
953,18.8601074258846,14.075721266326518,1.3399034457299046,0.07659211205057155,0.027167727006476572,0.006536805468548916,0.08294990161650387,0.05886129840078657,0.08621632906213784,0.05562802288456863,0.025820036601122164,0.023033771791036252,0.007311803083275055,0.057990685959865576,0.06182614160193488,0.05967635536634505,0.09307479509013471,0.09536203384905995,0.052690467016991656,0.025460351186867514,0.10380136196377313
954,19.26283008220473,15.04756958662343,1.2801289916830465,0.030347021362254825,0.0023678049413354595,0.030407301503714856,0.043982632079653514,0.02447000644658967,0.09357605557180956,0.09481418580918148,0.0857198578982496,0.09225087199880666,0.031104141483596602,0.053837426853917424,0.0454058111518397,0.09724786864489834,0.09820006041674054,0.06811372383637308,0.021528597673464822,0.08301928325190729,0.0036073490756665812
955,17.88891985244938,12.65636152586677,1.4134330641463138,0.030968116822135003,0.053855724756623154,0.09234068435519721,0.05224503500787533,0.07677961899590749,0.01522371961420902,0.017135566710573754,0.06330031603185297,0.08996860577211928,0.009694857120474487,0.06719641512037251,0.007262286936880633,0.01693390672010731,0.035081645428564984,0.09472629836541309,0.09763065987952195,0.08655240382301112,0.09310413853916066
956,20.24054973508873,15.447235258228883,1.310302419606538,0.06825790007251809,0.07130919471693922,0.04732377518757693,0.05830808292349045,0.027883878875938312,0.07720095706503621,0.018081305179669854,0.04810668916979236,0.0929198705968629,0.049784814798186916,0.0926329810881016,0.03557242716520729,0.07889858594977076,0.0026527502443425338,0.059919024629310126,0.09331959803139254,0.01046313513700718,0.06736502916885684
957,19.80371197506663,16.14844392491553,1.2263541965496356,0.12192849722222535,0.024007345024426134,0.08384765653846188,0.03085284983624826,0.03314148348896833,0.06974824187263515,0.0989602598549331,0.012730383887244625,0.09542026984635069,0.013085930130680396,0.03360245886049297,0.040992422025008045,0.08402033269019153,0.11320722976109665,0.09829324074974113,0.004901318354845471,0.0033618577979464886,0.03789822205850385
