,Portfolio Annual,Gini,Sharpe Ratio,170 Weight,603 Weight,601 Weight,690 Weight,637 Weight,704 Weight,701 Weight,714 Weight,XLK Weight,XLV Weight,XOP Weight,QQQ Weight,SHV Weight,273011 Weight,695437 Weight,593038 Weight,LMB Weight,AGM Weight,TDS Weight,MCD Weight,FMY Weight,EOI Weight
1412,9.178510111737669,7.882120500331934,1.1644721888419673,0.010716120376037138,0.008102272968253598,0.08894325224947747,0.04928846216701202,0.09181821138410129,0.08515237430312181,0.022986562011648434,0.04585900924328047,0.03174907668254259,0.04964379024418824,0.01456775223913301,0.031597378527730376,0.039891645399567945,0.07952770982206235,0.0015863883872300815,0.07571710138726771,0.09106865480432193,0.02793341490886684,0.05850962870354502,0.024456760143067226,0.015315566675830906,0.055568867371713494
1413,8.884455632471466,8.487734813407725,1.0467404823295205,0.035067296800530244,0.04958213202211933,0.023687928904407147,0.0595178797442085,0.0556878381022965,0.03343739437966366,0.05431955164247627,0.06913263362684043,0.055162370670196026,0.04650466755639593,0.04221812644430543,0.03556702098314449,0.028712785510349198,0.025260302386038942,0.05812627031074883,0.02205793543801017,0.07000457812801622,0.025454938856776573,0.0683942897300202,0.06228020766280995,0.015074149446737557,0.06474970165390859
1414,8.690626350422171,7.693998955471165,1.1295330816548017,0.08517361885757979,0.03752678984571158,0.028542294354679584,0.05975101621523533,0.009577705961656942,0.060244856283183,0.06201045278341271,0.07334566021729708,0.015125144531768222,0.07617565042937205,0.0062954925485373655,0.006772700639196801,0.00212436327614049,0.07273175236627019,0.055497898940549,0.04867153597760813,0.05688208278269305,0.05576156476011505,0.05265555600416762,0.031650765114008696,0.07873794137783728,0.024745156732980028
1415,9.029093422543966,7.511038091173475,1.2021099231482288,0.011172242099010568,0.04294517216500449,0.051281724102628025,0.009188889139645908,0.05816261028835765,0.07687610054442418,0.05171011232671228,0.018639134164301,0.01995670730940101,0.06542030919714224,0.04483585214665775,0.05519181979971348,0.051626206224548124,0.07502157180850133,0.030472740362030685,0.07626599973660905,0.04366860155115851,0.07281370567421389,0.0008845527772726727,0.07082531851046614,0.0607590118668252,0.0122816182053759
1416,6.200084129415417,7.689357327376051,0.8063201988730001,0.06391562237815966,0.06865678074785252,0.08819940013820783,0.02165738123873932,0.0786463647386788,0.05989416379026085,0.029042642107424826,0.05533725233287155,0.01494200609190174,0.008719571611242139,0.07917627869460994,0.017296246244882026,0.08511967984330226,0.02204989719172625,0.014759626407383018,0.08476261999787302,0.02943008592473291,0.047449231885060617,0.08051066754073412,0.009237035045247867,0.022861850458077777,0.018335595591031113
1417,7.581837967111604,7.009525731630756,1.0816477829446103,0.05038894630274304,0.06407431459265642,0.01423776934602899,0.02085359316298153,0.021609652126532597,0.0843587951472586,0.06524753735998598,0.07214340922583493,0.07373832400590048,0.08289019504458285,0.04274895035684993,0.029566837090561984,0.05839646774321373,0.0323258110162816,0.02212656530059443,0.002415159728125823,0.0326323466898664,0.027763058686199212,0.0019945053139601844,0.08454435132051147,0.06898783500689985,0.0469555754324299
1418,8.359454372184082,7.697340597202971,1.0860185107596392,0.010261144672595195,0.00849951657692698,0.0582584742079404,0.09012863277037894,0.03551909047025399,0.020998402771809675,0.056617664232426396,0.028103891371218062,0.033418876500089255,0.023386721845821395,0.07202955615093773,0.01285410125544333,0.08907249028084506,0.040610533310245,0.04310925467975795,0.0838967922679176,0.06329048038752125,0.05670039421722488,0.023299742476304883,0.06536205767563096,0.0726475915248363,0.01193459035387487
1419,6.85903623376467,6.99728071805386,0.9802431130235348,0.05795717370977923,0.04854740753825427,0.04841300113442739,0.06572540636285407,0.04577385171990631,0.0540746718102422,0.05698628787922916,0.019728300791819822,0.008224791780045693,0.04719608220846093,0.037077745967779616,0.04657731611128434,0.06965513924532506,0.06401590206740937,0.04778984112258854,0.06764398524851736,0.030174419007886807,0.002194071683811851,0.06724434630526299,0.022645528443239155,0.05614747196520602,0.036207257896669856
1420,7.960057781732388,7.72863810770327,1.0299431375624197,0.013490386548084174,0.05759688649395662,0.0733231201505639,0.014276465691648555,0.06503178062203258,0.06251744678227081,0.03898354293306506,0.06406185886345861,0.0013913020110072841,0.07518207593831329,0.061366580868124104,0.06525199592835668,0.05449158138949516,0.024207105314712013,0.046598561334784266,0.020766447905093886,0.07402251889439966,0.007322015185369866,0.025556936573432366,0.062357451562884525,0.02519004985862016,0.06701388915032637
1421,8.132400214545644,7.1689497590322615,1.1343921338407368,0.003102686711485275,0.030963719607340193,0.07550336069136623,0.04250251370322476,0.014250312108923717,0.0598277835416194,0.0684243830862751,0.04509996513257986,0.005286417938543477,0.08925268985699521,0.018393135740642327,0.08055808653098019,0.08054489291555265,0.006665641761759173,0.08889935422336254,0.03755047528996705,0.06966551995853607,0.042976185676313214,0.04115376229539062,0.012571512307676358,0.08477101630479603,0.0020365846166705
1422,8.577624785821714,7.5551873168323365,1.1353292017937757,0.007489172652055765,0.07526551120897851,0.0809714391742168,0.07491341699990915,0.08465565518411787,0.0689546656380252,0.037115954129928845,0.0005415949759830823,0.026383103575337456,0.03374666284955941,0.011696236749945662,0.03212150461687568,0.016707679581918586,0.03617682155378755,0.04980671271346952,0.035584745061435434,0.06742672278672211,0.07018845359371735,0.0621492906118552,0.0020998627969634432,0.04032746008424011,0.0856773334609572
1423,7.205039331129304,7.861193784436899,0.9165324667855652,0.010652835906642743,0.1027014180374009,0.003986748318838803,0.08155275711044062,0.0449159687344345,0.08533386305358355,0.008610104133045476,0.02005429853934162,0.004183445258935366,0.027772148850995045,0.07073851273994998,0.00455551675307587,0.11197312133271425,0.04904973892341483,0.0006162818466962047,0.003691369265488226,0.051307616068048414,0.055958244173128724,0.09707398734194096,0.07216808501932763,0.06599617565804648,0.027107762934509897
1424,7.256648647096098,9.059554398870107,0.8009939923757327,0.06556207136970053,0.017306272027924695,0.03455239809657603,0.004416148856277844,0.03156631363571708,0.025068731902704366,0.023098581048152465,0.10010648127955207,0.0008808697606367973,0.049497950845230274,0.09659411152686667,0.06220452052048754,0.07435403072492806,0.014030672953642225,0.04869156138056107,0.09654707666140512,0.012395991363701283,0.028282699601000605,0.06295670989973359,0.06440130061132908,0.03297166989559346,0.05451383603827917
