,Returns,Volatility,Sharpe Ratio,170 Weight,603 Weight,601 Weight,690 Weight,637 Weight,704 Weight,701 Weight,714 Weight,XLK Weight,XLV Weight,XOP Weight,QQQ Weight,SHV Weight,273011 Weight,695437 Weight,593038 Weight,LMB Weight,AGM Weight,TDS Weight,MCD Weight,FMY Weight,EOI Weight
0,5.263194088540208,5.955863286355193,0.8836996142268945,0.06417777226088081,0.014208354596684724,0.07484208781378118,0.08633533540546942,0.09547164804892931,0.04030006842616754,0.08362845340502166,0.01925577724588622,0.003912483821684551,0.004045992853564041,0.018802330054486414,0.0055437710637533735,0.09701580559429253,0.033051311135737435,0.032437400017316265,0.09396226611362969,0.016472744172815617,0.008067192044481319,0.030202162176152174,0.017660789178503833,0.0819760129735471,0.07863024159721466
1,6.376109988220274,7.3226405437475215,0.8707391753190113,0.023305858041805575,0.07947613577186773,0.07755143792452213,0.06715558334707349,0.03575428965208981,0.07880359292708218,0.0823499521015031,0.06512795291317375,0.0044566718416028045,0.013363448716927875,0.022546659736037023,0.0652792593456523,0.039248994136804674,0.051609609230556845,0.004630025230188772,0.03175727294681131,0.0233246025412776,0.010601642594700615,0.08564448937523934,0.047662732713108634,0.04142292987282042,0.04892685903915391
2,6.231199548727814,8.240427975438601,0.7561742627082612,0.08183159399294913,0.06970686501287957,0.0959418627435603,0.07776738888772873,0.02948266064161013,0.04911146705262179,0.033182294944501214,0.07781207133188241,0.009283816849662495,0.002506649304636805,0.008646208343938202,0.015965616939479958,0.06823157236634032,0.026178941837160345,0.026177535011696874,0.016457178205205474,0.0002793791419890242,0.05710655132808149,0.0962724229456352,0.06056879328861799,0.02050464744185179,0.07698448238797086
3,7.135199449824671,7.8256949700251415,0.9117655974523304,0.03419981083786879,0.03590107122091008,0.06028178772107922,0.0423645058662612,0.0009771415203092655,0.03125851407924119,0.12374063505730035,0.1027381664453176,0.004876496850462216,0.010106187399047336,0.07113461508002877,0.022912064665082794,0.1118130026542692,0.05134885728612142,0.08585418328459016,0.0038492630956395006,0.032456063862343794,0.05939813392836503,0.034473654360997204,0.038232098130085636,0.016906334701081813,0.02517741195359731
4,6.716411752743939,7.381062344469511,0.909951906553996,0.053047003213947126,0.04904098293161657,0.11369585840840872,0.002441272687357094,0.024293865768814746,0.0997302587684974,0.08187328624006232,0.03253330162224572,0.013927056672425598,0.0023222763617930333,0.03079713399230285,0.06818866284228448,0.10929553125279412,0.03504921688369007,0.0029926615882463867,0.015605294307457671,0.02472396436332704,0.014906010110656507,0.05389293344348236,0.08514363444170979,0.015520061882130398,0.07097973221674994
5,6.969138346332649,6.854866751302864,1.0166701409634353,0.03118166253899827,0.08001292865309366,0.07628793948675928,0.06593680041546231,0.0788486525671501,0.06755731542229548,0.04995583990530122,0.059143283678325664,0.008885445132196601,0.012389155621353124,0.03532174263760842,0.057665445484168826,0.051612798002593205,0.015460836934742556,0.007946057846440322,0.04346268889184598,0.05854693504637088,0.019099326436632938,0.02047387074164921,0.05004105510966385,0.05355421698397798,0.05661600246337002
6,6.088981632974975,6.243043480418078,0.9753226374401631,0.0009774064847214946,0.07596542807700347,0.06888633969569583,0.060551855887935935,0.06290884372375104,0.038986894622482705,0.0850553652451111,0.08589701558222858,0.03590742386709796,0.02825620708656269,0.03600162431086803,0.0452852981334991,0.035226137805622726,0.01837742236557964,0.07620263718239677,0.054834122865079014,0.016034747149831937,0.0129778657322716,0.020663438795632313,0.05434306327835468,0.0834704073859002,0.0031904547223732256
7,7.501721353762622,6.939968093430157,1.0809446459651966,0.056017815074174415,0.04648982205624154,0.06406485201821124,0.07710972289742606,0.07120859911598189,0.07398922265742515,0.05528320843436994,0.07587534077649309,0.002682834727782832,0.001619212458477013,0.0019512578128428769,0.01945133838290018,0.06284667792702078,0.049417426363409664,0.05062281664322307,0.015550695042421084,0.07152608965968567,0.013223628892950109,0.04315724866138751,0.07390590006476513,0.048460656799154796,0.025545633533655965
8,7.6844495073722845,7.403616061987281,1.0379319298885445,0.03178294492882023,0.02435361205884925,0.07862782428070593,0.026835354295706788,0.0893992731233311,0.08238366607755496,0.08873957460194887,0.07771056135229423,0.012753731719529836,0.009897754215200897,0.05492946733316861,0.025489631349208217,0.06766060014384824,0.006768346848548251,0.016909241914765328,0.06438197389640189,0.06821293360900549,0.0577918465671647,0.0005211970796746775,0.08721732281556448,0.02595035746644246,0.001682784322265488
9,8.27091203890392,8.011071706261793,1.0324351525201083,0.02875082061972016,0.08578648818459621,0.08747991016149403,0.09280474808052047,0.08073989291891519,0.042353084500015105,0.04697231612395154,0.01825362536657961,0.03603458867444872,0.004755249389206247,0.046399611907209086,0.04524705031166149,0.07324478467385048,0.03818945314870276,0.09518114820719804,0.004093113231050276,0.09330540264489716,0.009766132371020654,0.023952137622235,0.006941188587906383,0.019337577485418464,0.020411675789402974
