,601,602,700,701,702,TA35.TA,TA90.TA,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2013-08-06,304.26,308.68,396.42,275.21,315.01,1200.8699951171875,835.469970703125,141.2771759033203,70.04307556152344,1052.1400146484375,104.81904602050781,82.15386199951172,32.33000183105469,123.97000122070312,42.422401428222656
2013-08-07,304.42,308.93,396.8,275.33,315.05,1200.469970703125,835.3400268554688,140.81939697265625,69.91498565673828,1044.3399658203125,104.92314147949219,82.33478546142578,32.040000915527344,124.1500015258789,42.16389846801758
2013-08-08,304.45,308.86,396.9,275.51,315.02,1202.8499755859375,833.3699951171875,141.33544921875,70.2625961303711,1049.469970703125,104.96650695800781,82.50858306884766,32.09000015258789,126.86000061035156,41.529998779296875
2013-08-09,,,,,,,,140.92759704589844,69.97899627685547,1048.4000244140625,105.02726745605469,82.50858306884766,32.40999984741211,126.86000061035156,42.531700134277344
2013-08-11,304.85,309.15,397.43,275.52,315.08,1202.75,830.989990234375,,,,,,,,
2013-08-12,304.86,309.04,397.49,275.43,315.09,1206.8599853515625,827.010009765625,140.76112365722656,70.14366149902344,1053.6700439453125,104.94918060302734,82.46512603759766,32.720001220703125,129.1300048828125,42.77399826049805
2013-08-13,304.67,308.82,397.26,275.41,315.02,1211.719970703125,838.8099975585938,141.1772918701172,70.53706359863281,1051.989990234375,104.51549530029297,81.87871551513672,32.75,127.73999786376953,43.109500885009766
2013-08-14,304.43,308.53,396.84,275.51,315.02,1212.5799560546875,840.0399780273438,140.45310974121094,70.27176666259766,1047.800048828125,104.53282928466797,81.74119567871094,32.900001525878906,129.0,43.08100128173828
2013-08-15,303.95,308.01,395.97,275.58,315.04,1204.8900146484375,835.2999877929688,138.4887237548828,69.08243560791016,1027.6099853515625,104.3160400390625,81.1619873046875,33.06999969482422,131.69000244140625,43.464900970458984
2013-08-16,,,,,,,,138.03091430664062,69.05500030517578,1024.300048828125,104.12522888183594,80.75659942626953,33.25,132.5800018310547,43.68410110473633
2013-08-18,303.48,307.39,395.07,275.71,315.07,1207.239990234375,838.47998046875,,,,,,,,
2013-08-19,303.03,306.78,393.99,275.83,314.96,1208.8399658203125,839.030029296875,137.14866638183594,68.9360580444336,1013.25,103.9690933227539,80.31501007080078,33.130001068115234,132.00999450683594,43.49850082397461
2013-08-20,303.14,306.93,394.1,275.92,314.93,1207.81005859375,836.8200073242188,137.8228759765625,69.23796844482422,1028.5699462890625,104.22059631347656,80.80725860595703,32.939998626708984,132.4499969482422,43.02000045776367
2013-08-21,302.75,306.4,393.23,275.97,314.9,1203.219970703125,839.6199951171875,136.9738311767578,69.00007629394531,1021.5800170898438,103.8476333618164,80.32223510742188,32.79999923706055,132.07000732421875,42.537200927734375
