,Profolio_annual,Gini,Sharpe Ratio,601 Weight,602 Weight,700 Weight,701 Weight,702 Weight,TA35.TA Weight,TA90.TA Weight,SPY Weight,QQQ Weight,^RUT Weight,IEI Weight,LQD Weight
102,1.8120934651040033,2.2102422376555686,0.8198619292635152,0.09729394915325155,0.08813576486878866,0.009414459960199167,0.16543367146313093,0.18979107484629568,0.020761799545611512,0.013436021846975545,0.024158453107126655,0.014076278375326302,0.004624407105569028,0.1828025335040288,0.19007158622369605
103,1.6896340762020623,1.8223954147711892,0.9271500918554518,0.12135014168704439,0.17367406526788204,0.21757340326241434,0.025180872898021768,0.24207676095624422,0.02508129949794537,0.02650687478597419,0.02065514664637082,0.0017432979852115608,0.0057429224743731,0.11006444383196635,0.030350770706551847
104,2.2803036584178926,2.8664686613883683,0.7955097116999117,0.2124702319378737,0.23674690207739194,0.0011161878780199168,0.027388655409179907,0.006017144967912844,0.00808142923399757,0.01302769371635141,0.03394339139911057,0.00501742951564406,0.03851356974969421,0.21768120734108504,0.1999961567737389
105,2.508806325941215,2.79628886586316,0.8971914012777773,0.17600165162393167,0.01665072825971902,0.14403318399911286,0.041531531585280994,0.13171522364381494,0.021518041427014023,0.0041742726323057274,0.011782130836576489,0.057435726771477194,0.0036081630656430446,0.17173461055478578,0.2198147356003383
106,1.746008431118029,2.145356880831609,0.8138545370788007,0.17721156533006713,0.10871598907043473,0.06260143237195367,0.1370245729656071,0.16302790902349756,0.05267889142732424,0.01646962599606132,0.010159112005710746,0.003355414473600458,0.007309673854929761,0.10858558332259513,0.15286023015821815
107,2.1219453367024688,2.147444735418032,0.988125702005272,0.12674042745583564,0.15161318521612913,0.16253510113450473,0.14838189598178625,0.06356788569351055,0.025576044817588312,0.014582071943667207,0.018448408397658322,0.03169545330087215,0.005310346138427315,0.16470101381211244,0.08684816610790791
108,1.8371963531671476,1.8969023301802965,0.9685244853869339,0.1346229383704979,0.10057689696287214,0.1843339341418729,0.1371432091083419,0.22412527383259945,0.015325219395173086,0.015232914954978288,0.020738355550683183,0.015492693157672514,0.0012223764327211535,0.014356141197814738,0.13683004689477285
109,2.0005867551990297,2.329945161889116,0.8586411336724153,0.15666001012117234,0.11804130480845985,0.03022298893230874,0.15245238375531472,0.12850629897748547,0.03613774807100441,0.00624660503231952,0.041755605176945244,0.005874536627743759,0.008271088004158997,0.13062011150385697,0.1852113189892299
110,2.0298532685169013,2.367409885265422,0.8574152203851781,0.2507562183996822,0.11542404923122841,0.13986304948169434,0.11922971545925153,0.042503256590059775,0.0023933145964938787,0.06147358096104635,0.002629759583676666,0.00221027254713239,0.01322705392566887,0.1097678792123068,0.1405218500117588
111,1.712784357172259,2.095298385048195,0.8174417397514779,0.1574277356161325,0.15743980641179456,0.11283320419540947,0.05173772647559177,0.15536568845135845,0.022200012216007304,0.0036915360083018753,0.010687693955925632,0.008400047373313317,0.01869932332286021,0.1806244228822987,0.1208928030910061
112,1.794921323006693,1.8054231447581486,0.9941831798368451,0.15452245691934374,0.10393271422094424,0.21714368374413706,0.15268265055349037,0.21842837103991472,0.022241814138532164,0.02653770803580935,0.03125242335178847,0.0002708351274330811,0.008229981441588591,0.0012714911926587358,0.06348587023435938
113,1.8175330125964395,2.2511281850750766,0.8073876133072465,0.06686509625280612,0.037067321325767226,0.08808718630464009,0.17227100483919155,0.17131793760789576,0.019637850314295005,0.005691361384936952,0.02212619514778293,0.019099865501713668,0.00634320628395534,0.19766468105646604,0.19382829398054927
114,1.9628635811432815,2.301636927792806,0.8528119954286635,0.17883156886198734,0.07259052362381328,0.1735674630949483,0.11892434911712729,0.1355877565594472,0.017091674491366823,0.022437289846696733,0.0001580890432878416,0.011009950462749605,0.03413487746616687,0.05865555807525249,0.17701089935715617
115,2.068229126392196,2.338813409541154,0.8843070242178733,0.13535502434116392,0.11206310314963017,0.08351711191493187,0.21006371107650046,0.03688301452230502,0.0068361083684213815,0.05357974643023492,0.023926721303723152,0.007190668242299865,0.0020895385574196037,0.16536605807581434,0.16312919401755516
116,1.9446232244564987,2.241018839926752,0.8677406855357178,0.1748617685343699,0.19962854119725246,0.09901825895510213,0.1184682406576248,0.04921563350605675,0.04477062407448878,0.010936403995280416,0.012956247775536934,0.014250868602873779,0.005390064619196603,0.14704021084641208,0.12346313723580526
117,2.229588394678217,2.1577912113583047,1.033273461742722,0.20509695790347326,0.1631443173743015,0.15548937438069893,0.17748405376318752,0.094933715974625,0.002147883659388759,0.009880986854317424,0.008225435020140176,0.044566940066177015,0.018101464027554238,0.03492319185209406,0.08600567912404207
118,1.929595875607304,2.062618247997952,0.9355080017740732,0.14842065799337512,0.1462721100527201,0.09387001220917984,0.16033955550411386,0.1512743850269278,0.009594591127991669,0.03489511557541522,0.008508104366849772,0.010567017233686861,0.03477974906445522,0.10814719751290848,0.09333150433237605
119,2.053500361455507,2.533329026274425,0.8105936260776336,0.14176290580093884,0.11644119577656863,0.006581425430642453,0.07549492792238918,0.17667512824357337,0.037514821272177534,0.009638952489764322,0.021851266925999483,0.02029855831869489,0.005041758284023391,0.1706847183793118,0.21801434115591614
120,2.1657942500315164,2.479538467434142,0.8734666868357593,0.14115376289455125,0.10997979288374617,0.12543513275963608,0.0380582717765374,0.1500693932893836,0.01062624582229251,0.011689380836041985,0.024406137529493416,0.021651523497995834,0.026515022135705908,0.17904039332053914,0.16137494325407667
121,2.170343940146635,2.327364800870404,0.9325327681053501,0.17236248134965115,0.06322698487435982,0.13160443658653184,0.16968426688367527,0.06468441611841053,0.0028251636270945606,0.0330658222631939,0.00811982065562242,0.030134486080343185,0.010271655305544795,0.15205111896507978,0.16196934729049267
122,1.971284590707878,2.3497466867262093,0.8389349378993594,0.1611337526596038,0.10708821498718092,0.1660313434263525,0.13710039503877933,0.0964345257035027,0.02025746441834924,0.006559493705291097,0.010460746797133519,0.007124873951649624,0.05548491949862212,0.10128533950737624,0.13103893030615898
123,2.4384378499730186,2.393377643523747,1.0188270357464064,0.11864711637535827,0.1731744412470927,0.17900155265401313,0.0521281496462026,0.16795895013895193,0.0019506309076336701,0.02480455706344535,0.02159546602458473,0.04748535759030351,0.0007945600461964861,0.07871763713479263,0.13374158117142498
